segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.7999997,-311.65,54.45,3.6891732
1,0,-5.7999997,-310.34998,54.3,0.5744563
2,1,-5.7999997,-308.1,54.05,0.5
3,2,-5.7999997,-291.5,52.100002,0.56568545
4,3,-5.7999997,-291.1,52.05,0.53851646
5,4,-5.7999997,-290.8,52.399998,0.56568545
6,5,-5.85,-290.85,53.600002,0.46904156
7,6,-5.5,-290.85,54.45,0.37416574
8,7,-5.0,-290.85,55.5,0.41231057
9,8,-3.8249998,-290.85,56.25,0.42720017
10,9,-2.2,-290.85,56.65,0.42426404
11,10,-0.65000004,-290.85,56.15,0.4358899
12,11,0.45,-290.85,55.05,0.4358899
13,12,0.675,-290.85,53.475,0.46368092
14,13,0.70000005,-290.8,52.3,0.34641016
15,14,0.70000005,-290.65002,52.100002,0.3
16,15,0.70000005,-286.7,50.6,0.28284273
17,16,0.70000005,-286.6,50.550003,0.36055514
18,0,-5.7999997,-312.94998,54.6,0.5744563
19,18,-5.775,-315.025,54.85,0.46368092
20,19,-4.1,-339.7,57.8,0.28284273
21,20,-4.0750003,-340.375,57.9,0.35355338
22,21,-4.25,-340.55,57.8,0.37416574
23,22,-4.4,-340.55,57.6,0.41231057
24,23,-4.5,-340.45,57.4,0.3
25,24,-4.575,-340.25,57.45,0.35000002
26,25,-4.65,-340.17502,57.625,0.3391165
27,26,-4.7,-340.15,57.925,0.3640055
28,27,-4.6,-340.17502,58.399998,0.32015622
29,28,-4.25,-340.15,58.749996,0.4358899
30,29,-3.9250002,-340.15,58.850002,0.45
