segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.05,-296.55002,58.25,3.541186
8,0,-2.05,-295.25,58.149998,0.4358899
9,8,-2.05,-292.65,57.85,0.4358899
10,9,-2.05,-290.19998,57.65,0.42426404
1,0,-2.05,-297.84998,58.350002,0.4358899
2,1,-2.05,-300.1,58.350002,0.42426404
3,2,-2.05,-304.5,58.45,0.42426404
4,3,-2.05,-337.0,60.45,0.42426404
5,4,-2.05,-337.4,60.350002,0.42426404
6,5,-2.05,-341.5,59.95,0.46904156
7,6,-2.05,-342.0,59.600002,0.41231057
11,10,-2.05,-290.05002,57.8,0.42426404
12,11,-2.05,-290.05002,58.2,0.42426404
13,10,-2.05,-290.1,57.5,0.36055514
14,13,-2.05,-290.15,56.950005,0.4358899
