segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.825,-282.763,52.762997,2.238303
1,0,2.95,-281.725,52.725,0.6284902
2,1,3.9,-279.05,50.875004,0.5937171
3,2,4.625,-277.85,51.075,0.57879186
4,3,4.95,-275.625,51.175,0.57879186
5,4,5.025,-273.25,51.15,0.4924429
6,5,4.35,-272.7,50.875004,0.7017835
7,6,3.7,-272.8,50.65,0.64031243
8,7,3.325,-273.44998,50.524998,0.54313904
9,8,3.3750002,-274.125,50.524998,0.4769696
10,9,3.4499998,-275.02502,50.625004,0.46368092
16,0,2.7,-283.80002,52.8,0.56568545
17,16,3.15,-288.3,57.85,0.46904156
18,17,4.3,-291.25,59.649998,0.5830952
19,18,4.2,-295.275,59.975,0.49497476
20,19,4.2,-298.15,60.2,0.5744563
21,20,2.4250002,-304.375,59.2,0.552268
22,21,1.95,-312.65,59.899998,0.6480741
23,22,1.5,-320.475,60.600002,0.585235
24,23,0.9,-331.325,61.0,0.5678908
25,24,0.5,-336.65,61.199997,0.5744563
26,25,-0.3,-341.025,60.8,0.5678908
11,10,3.3500001,-275.375,50.75,0.86168444
12,11,2.925,-275.42502,51.225002,0.792149
13,12,-1.65,-275.65,53.8,0.6480741
14,10,3.5500002,-275.3,50.475002,0.71589106
15,14,4.1,-275.075,48.6,0.7088724
