segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.0620003,-282.763,52.762997,2.3286262
1,0,-7.225,-281.725,52.725,0.66895443
2,1,-8.2,-279.05,50.875004,0.5937171
3,2,-8.900001,-277.85,51.075,0.5937171
4,3,-9.224999,-275.625,51.175,0.6062178
5,4,-9.275,-273.25,51.15,0.55
6,5,-8.625,-272.7,50.875004,0.6964194
7,6,-7.9750004,-272.8,50.65,0.6576473
8,7,-7.625,-273.44998,50.524998,0.54313904
9,8,-7.6499996,-274.125,50.524998,0.46368092
10,9,-7.7,-275.02502,50.625004,0.49497476
16,0,-6.8999996,-283.80002,52.8,0.56568545
17,16,-7.4249997,-288.3,57.85,0.4387482
18,17,-8.55,-291.25,59.649998,0.65574384
19,18,-8.474999,-295.275,59.975,0.622495
20,19,-8.474999,-298.15,60.2,0.6103278
21,20,-6.7000003,-304.375,59.2,0.585235
22,21,-6.2,-312.65,59.899998,0.5744563
23,22,-5.775,-320.475,60.600002,0.6964194
24,23,-5.15,-331.325,61.0,0.6422616
25,24,-4.8,-336.65,61.199997,0.5744563
11,10,-7.825,-275.3,50.475002,0.73824114
12,11,-8.4,-275.075,48.6,0.7088724
13,10,-7.625,-275.375,50.75,0.8455767
14,13,-7.175,-275.42502,51.225002,0.8046739
15,14,-2.625,-275.65,53.8,0.6576473
