segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,6.7500005,-285.0,49.35,2.823119
9,0,6.7500005,-285.94998,49.649998,0.4358899
10,9,7.4,-289.8,51.1,0.56568545
11,10,7.9000006,-293.19998,52.100002,0.56568545
12,11,7.9000006,-296.6,52.8,0.56568545
13,12,7.5000005,-299.8,53.3,0.56568545
14,13,6.2,-304.6,54.100002,0.56568545
15,14,5.0,-320.15,56.0,0.5744563
16,15,3.1,-331.95,57.200005,0.5744563
17,16,2.3,-337.15,57.8,0.5744563
18,17,1.3000001,-342.8,58.600002,0.56568545
19,18,0.70000005,-348.6,58.899998,0.56568545
20,19,0.70000005,-349.44998,58.999996,0.5744563
1,0,6.7500005,-284.05002,49.05,0.71414286
2,1,6.7500005,-280.1,47.350002,0.42426404
3,2,5.55,-276.5,45.649998,0.42426404
4,3,5.55,-275.0,44.825,0.4609772
5,4,5.375,-274.5,45.2,0.3774917
6,5,5.375,-274.32498,46.0,0.43011624
7,6,4.4500003,-274.65,48.525,0.4924429
8,7,3.9500003,-275.0,49.5,0.53851646
