segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-11.0,-285.0,49.35,2.823119
1,0,-11.0,-285.94998,49.649998,0.50990194
2,1,-11.7,-289.8,51.1,0.56568545
3,2,-12.2,-293.19998,52.100002,0.56568545
4,3,-12.2,-296.6,52.8,0.56568545
5,4,-11.8,-299.8,53.3,0.56568545
6,5,-10.400001,-304.6,54.100002,0.56568545
7,6,-9.3,-320.15,56.0,0.5744563
8,7,-7.2999997,-331.95,57.200005,0.5744563
9,8,-6.5,-337.15,57.8,0.5744563
10,9,-5.6000004,-342.8,58.600002,0.56568545
11,10,-5.0,-348.6,58.899998,0.56568545
12,11,-5.0,-349.44998,58.999996,0.5744563
13,0,-11.0,-284.05002,49.05,0.6480741
14,13,-11.025001,-280.1,47.350002,0.39051247
15,14,-9.825,-276.5,45.649998,0.33541018
16,15,-9.825,-275.0,44.825,0.38078865
17,16,-9.650001,-274.5,45.2,0.41231057
18,17,-9.650001,-274.32498,46.0,0.4609772
19,18,-8.7,-274.65,48.525,0.4387482
20,19,-8.225,-275.0,49.5,0.5123476
