segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.3,-288.875,42.95,2.823119
9,0,3.3,-289.8,43.3,0.6
10,9,3.3,-290.15,43.55,0.50990194
11,10,4.1,-291.725,45.2,0.585235
12,11,5.05,-298.7,47.05,0.42426404
13,12,3.05,-304.9,48.649998,0.42426404
14,13,3.05,-309.3,50.15,0.42426404
15,14,2.35,-317.19998,51.45,0.42426404
16,15,0.55,-337.0,54.85,0.42426404
17,16,-0.25,-342.6,55.85,0.42426404
18,17,-0.25,-346.30002,56.35,0.42426404
19,18,-0.25,-349.5,56.85,0.42426404
1,0,3.3,-287.94998,42.6,0.5744563
2,1,1.35,-284.05002,41.45,0.4358899
3,2,0.0,-278.25,39.175,0.4387482
4,3,0.0,-274.5,38.125,0.40311286
5,4,0.775,-273.30002,38.125,0.43011624
6,5,2.8999999,-273.42502,39.825,0.43011624
7,6,4.475,-273.775,42.449997,0.44158804
8,7,4.975,-274.05,44.375,0.41833004
