segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.6,-288.875,42.95,2.823119
1,0,-7.6,-289.8,43.3,0.6
2,1,-7.6,-290.15,43.55,0.50990194
3,2,-8.299999,-291.725,45.2,0.585235
4,3,-9.25,-298.7,47.05,0.42426404
5,4,-7.35,-304.9,48.649998,0.42426404
6,5,-7.35,-309.3,50.15,0.42426404
7,6,-6.65,-317.19998,51.45,0.42426404
8,7,-4.75,-337.0,54.85,0.42426404
9,8,-4.0,-342.6,55.85,0.36055514
10,9,-4.0,-346.30002,56.35,0.36055514
11,10,-4.0,-349.5,56.85,0.36055514
12,0,-7.6,-287.94998,42.6,0.5744563
13,12,-5.65,-284.05002,41.45,0.4358899
14,13,-4.25,-278.25,39.175,0.35000002
15,14,-4.25,-274.5,38.125,0.4609772
16,15,-5.05,-273.30002,38.125,0.4387482
17,16,-7.175,-273.42502,39.825,0.295804
18,17,-8.725,-273.775,42.449997,0.44158804
19,18,-9.25,-274.05,44.375,0.42720017
