segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.35,403.80002,4.1,2.0518284
1,0,1.3000001,403.825,4.05,0.3640055
2,1,2.0,403.57498,3.4499998,0.41533118
3,2,3.4,402.0,0.9,0.34641016
4,3,4.3,399.4,-0.45,0.3
5,4,4.7,396.075,-2.025,0.21213202
6,5,4.2,392.75,-3.5750003,0.3640055
7,6,2.925,389.925,-4.95,0.18708287
8,7,1.025,388.05002,-5.825,0.39370042
9,8,-0.575,387.25,-6.15,0.45
10,9,-1.5,385.7,-6.2,0.56568545
11,10,-1.4499999,377.65,-11.75,0.4358899
12,11,-1.4499999,355.35,-21.449999,0.4358899
13,12,-1.4499999,350.75,-23.0,0.50990194
