segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.85,403.80002,4.1,2.0518284
1,0,-3.85,403.825,4.05,0.32015622
2,1,-4.5499997,403.57498,3.4499998,0.32015622
3,2,-5.9,402.0,0.9,0.34641016
4,3,-6.8,399.4,-0.45,0.3
5,4,-7.2,396.075,-2.025,0.21213202
6,5,-6.725,392.75,-3.5750003,0.36742347
7,6,-5.475,389.925,-4.95,0.23452078
8,7,-3.525,388.05002,-5.825,0.39370042
9,8,-1.95,387.25,-6.15,0.4358899
10,9,-1.4499999,385.7,-6.2,0.5
11,10,-1.4499999,377.65,-11.75,0.4358899
12,11,-1.4499999,355.35,-21.449999,0.4358899
13,12,-1.4499999,350.75,-23.0,0.50990194
