segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.86700004,-252.135,44.420002,5.3683543
1,0,-0.96699995,-252.135,44.420002,0.97297895
2,1,-0.48099998,-252.49901,44.420002,0.74673957
3,2,-0.085,-253.74,44.420002,0.7472295
4,3,-0.24900001,-258.952,44.117,0.7471573
5,4,-0.284,-277.864,49.329002,0.7469886
6,5,-0.242,-291.785,54.97,0.7474784
7,6,-0.251,-326.953,59.309,0.7483876
8,7,-1.224,-339.026,59.713,1.8173002
9,8,-1.622,-339.022,59.703,0.7745708
10,9,-1.585,-339.169,59.773,0.36761394
11,10,-1.72,-340.011,59.677,0.3660929
12,11,-1.7340001,-340.275,59.249,0.3663004
13,12,-1.7449999,-340.115,58.808,0.3666606
14,13,-1.774,-339.278,58.313,0.36683512
15,8,-1.0189999,-339.053,59.591,1.3389564
16,15,-1.112,-339.295,59.756,0.47099045
17,16,-1.131,-340.02298,59.684998,0.4706294
18,17,-1.148,-340.282,59.249,0.47166938
19,18,-1.1669999,-340.111,58.767002,0.4697063
20,19,-1.192,-339.264,58.315998,0.4691311
