segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.7500002,-295.4,48.15,4.3840623
1,0,3.7,-295.4,48.2,0.56568545
2,1,3.7,-295.8,48.15,0.53851646
3,2,3.7,-296.1,48.899998,0.56568545
4,3,3.7500002,-296.1,49.95,0.50990194
5,4,3.7500002,-296.0,50.15,0.46904156
6,5,3.7500002,-295.6,50.25,0.42426404
7,6,3.7500002,-294.19998,50.199997,0.5
8,7,3.7500002,-294.05,50.4,0.42426404
9,8,3.7500002,-294.05,51.2,0.42426404
10,7,3.7500002,-293.9,50.25,0.42426404
11,10,3.7500002,-292.35,49.75,0.4358899
12,11,3.7500002,-291.55,48.899998,0.46904156
13,12,3.7500002,-291.25,48.699997,1.5427248
14,13,3.7500002,-291.15,47.9,1.6309507
15,14,3.7500002,-290.19998,46.95,1.3341664
16,15,3.7500002,-290.15,46.95,0.4358899
17,16,3.7,-289.8,46.85,0.36055514
18,17,2.1,-287.6,46.6,0.28284273
19,18,0.4,-282.69998,46.45,0.36055514
20,19,0.2,-282.2,46.399998,0.28284273
21,4,3.7500002,-296.25,50.25,0.4358899
22,21,4.65,-297.19998,51.5,0.5
23,22,4.75,-297.25,52.249996,0.4358899
24,23,4.1499996,-296.35,54.25,0.4358899
25,24,2.75,-295.65,56.550003,0.51961523
26,25,0.425,-295.7,57.7,0.585235
27,26,-0.5,-295.7,57.6,0.48989794
28,27,-1.35,-295.7,56.5,0.41231057
29,28,-1.35,-295.25,56.15,0.4358899
30,29,-1.35,-294.4,56.15,0.42426404
