segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.05,-295.4,48.15,4.3840623
1,0,-8.0,-295.4,48.2,0.56568545
2,1,-8.0,-295.8,48.15,0.53851646
3,2,-8.0,-296.1,48.899998,0.56568545
4,3,-8.0,-296.1,49.95,0.5744563
5,4,-8.0,-296.0,50.15,0.53851646
6,5,-8.05,-295.6,50.25,0.42426404
7,6,-8.05,-294.19998,50.199997,0.5
8,7,-8.05,-294.05,50.4,0.42426404
9,8,-8.05,-294.05,51.2,0.42426404
10,7,-8.05,-293.9,50.25,0.42426404
11,10,-8.05,-292.35,49.75,0.4358899
12,11,-8.05,-291.55,48.899998,0.46904156
13,12,-8.0,-291.25,48.699997,1.473092
14,13,-8.05,-291.15,47.9,1.6309507
15,14,-8.0,-290.19998,46.95,1.403567
16,15,-8.0,-290.15,46.95,0.37416574
17,16,-8.0,-289.8,46.85,0.36055514
18,17,-6.3500004,-287.6,46.6,0.36055514
19,18,-4.7,-282.69998,46.45,0.36055514
20,19,-4.5,-282.2,46.399998,0.28284273
21,4,-8.0,-296.25,50.25,0.50990194
22,21,-8.95,-297.19998,51.5,0.5
23,22,-9.049999,-297.25,52.249996,0.4358899
24,23,-8.45,-296.35,54.25,0.4358899
25,24,-7.0,-295.65,56.550003,0.46904156
26,25,-4.7,-295.7,57.7,0.56568545
27,26,-3.7500002,-295.7,57.6,0.45825756
28,27,-2.95,-295.7,56.5,0.41231057
29,28,-2.95,-295.25,56.15,0.4358899
30,29,-2.95,-294.4,56.15,0.42426404
