segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.2,-296.15,52.3,3.8897302
1,0,3.2,-294.8,52.3,0.56568545
2,1,2.8999999,-292.85,52.100002,0.5744563
3,2,2.6000001,-291.15,52.0,0.5744563
4,3,2.55,-290.775,52.3,0.57662815
5,4,2.25,-290.7,53.45,0.50990194
6,5,1.25,-290.59998,54.949997,0.5830952
7,6,-0.25,-290.5,55.9,0.5744563
8,7,-2.0,-290.5,56.300003,0.56568545
9,8,-3.7,-290.5,55.9,0.6
10,9,-4.8,-290.55,55.299995,0.67082036
26,0,3.2,-297.5,52.3,0.56568545
27,26,3.2,-299.8,52.7,0.56568545
28,27,3.2,-304.69998,53.45,0.53851646
29,28,3.2,-305.95,54.9,0.53851646
30,29,3.2,-306.45,55.5,0.53851646
11,10,-4.975,-290.35,55.175,0.6745369
12,11,-5.0,-290.19998,55.05,0.41231057
13,12,-5.025,-289.825,54.7,0.21213202
14,13,-5.05,-288.9,54.275,0.26925823
15,14,-5.05,-287.675,54.125,0.30822068
16,15,-5.075,-287.425,54.125,0.295804
17,10,-5.15,-290.59998,55.05,0.5830952
18,17,-6.2,-290.7,53.45,0.5744563
19,18,-6.6,-290.8,51.7,0.56568545
20,19,-5.7999997,-290.925,47.4,0.60207975
21,20,-5.7999997,-290.275,45.025,0.6363961
22,21,-5.7999997,-289.85,44.5,0.5744563
23,22,-5.7999997,-289.15,44.5,0.5744563
24,23,-5.2999997,-286.375,45.8,0.5678908
25,24,-5.35,-284.775,45.699997,0.6422616
