segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.25,-296.15,52.3,3.8897302
1,0,-7.25,-294.8,52.3,0.64031243
2,1,-6.8999996,-292.85,52.100002,0.5744563
3,2,-6.7000003,-291.15,52.0,0.5744563
4,3,-6.6249995,-290.775,52.3,0.6363961
5,4,-6.3,-290.7,53.45,0.5744563
6,5,-5.35,-290.59998,54.949997,0.5830952
7,6,-3.85,-290.5,55.9,0.5744563
8,7,-2.1,-290.5,56.300003,0.56568545
9,8,-0.35000002,-290.5,55.9,0.5744563
10,9,0.75,-290.55,55.299995,0.70710677
26,0,-7.25,-297.5,52.3,0.5
27,26,-7.25,-299.8,52.7,0.5
28,27,-7.25,-304.69998,53.45,0.46904156
29,28,-7.25,-305.95,54.9,0.46904156
30,29,-7.25,-306.45,55.5,0.46904156
11,10,0.925,-290.35,55.175,0.6595453
12,11,0.925,-290.19998,55.05,0.26925823
13,12,0.95,-289.825,54.7,0.22912878
14,13,0.975,-288.9,54.275,0.25495097
15,14,0.975,-287.675,54.125,0.25980762
16,15,1.025,-287.425,54.125,0.295804
17,10,1.1,-290.59998,55.05,0.53851646
18,17,2.1,-290.7,53.45,0.5744563
19,18,2.5,-290.8,51.7,0.56568545
20,19,1.7,-290.925,47.4,0.60207975
21,20,1.7,-290.275,45.025,0.6363961
22,21,1.75,-289.85,44.5,0.6480741
23,22,1.7,-289.15,44.5,0.5744563
24,23,1.25,-286.375,45.8,0.6422616
25,24,1.3000001,-284.775,45.699997,0.5678908
