segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.1539998,-293.51202,56.707,4.243371
1,0,-2.153,-293.47,56.699997,0.7940428
2,1,-2.173,-289.3,55.612,0.7931633
3,2,-1.9339999,-288.975,55.539,0.7918611
4,3,-0.321,-288.948,55.251003,0.79201263
5,4,1.201,-288.969,54.211998,0.7916792
6,5,2.23,-289.029,52.665,0.7934935
7,6,2.628,-289.172,50.868,0.7940403
8,7,2.273,-289.31,49.05,0.7916969
9,8,1.2409999,-289.414,47.551,0.7919141
10,9,-0.34,-289.49298,46.469,0.7920833
11,10,-2.1090002,-289.494,46.099003,0.79366493
12,11,-3.9850001,-289.477,46.48,0.79212624
13,12,-5.54,-289.43802,47.538002,0.7933448
14,13,-6.5360003,-289.325,49.052002,0.7918409
15,14,-6.9080005,-289.187,50.893997,0.790367
16,15,-6.5169997,-289.01,52.701004,0.79257053
17,16,-6.3879995,-289.305,52.982002,0.85445184
18,17,-6.412,-290.835,53.144,0.47895724
