segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.6000001,-292.25,51.8,3.4307435
1,0,2.6000001,-292.25,51.85,0.50990194
2,1,2.6000001,-288.05002,50.65,0.50990194
3,2,2.6000001,-287.9,50.449997,0.5744563
4,3,2.55,-287.9,50.125004,0.52201533
5,4,2.125,-288.025,49.175,0.4974937
6,5,1.3000001,-288.07498,47.875,0.47434163
7,6,-0.15,-288.125,46.95,0.55
8,7,-1.9,-288.15,46.55,0.42426404
9,8,-3.5750003,-288.15,46.875,0.41833004
10,9,-5.0,-288.07498,47.9,0.3774917
11,10,-5.975,-288.0,49.25,0.5408327
12,11,-6.3500004,-287.875,51.0,0.39051247
13,12,-6.025,-287.75,52.675003,0.41833004
14,13,-5.6000004,-287.75,53.500004,0.41231057
15,14,-5.25,-287.4,53.649998,0.46904156
16,15,-4.8,-286.5,53.350002,0.5
17,16,-4.8,-282.3,50.6,0.56568545
18,17,-4.8,-272.5,47.350002,0.5
19,18,-4.8,-264.5,44.600002,0.56568545
20,19,-4.8,-263.7,44.350002,0.5
21,2,2.6000001,-287.7,50.550003,0.5
22,21,2.6000001,-279.55002,47.45,0.50990194
23,22,2.6000001,-261.8,41.25,0.5
24,23,2.6000001,-259.5,40.65,0.5
