segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.3500004,-292.25,51.8,3.5014284
1,0,-6.3500004,-292.25,51.85,0.4358899
2,1,-6.3500004,-288.05002,50.65,0.4358899
3,2,-6.3500004,-287.9,50.449997,0.50990194
4,3,-6.25,-287.9,50.125004,0.52201533
5,4,-5.85,-288.025,49.175,0.5244044
6,5,-5.0,-288.07498,47.875,0.47434163
7,6,-3.5500002,-288.125,46.95,0.55
8,7,-1.9,-288.15,46.55,0.42426404
9,8,-0.15,-288.15,46.875,0.40311286
10,9,1.3000001,-288.07498,47.9,0.3774917
11,10,2.25,-288.0,49.25,0.50990194
12,11,2.6499999,-287.875,51.0,0.39051247
13,12,2.2749999,-287.75,52.675003,0.36742347
14,13,1.8,-287.75,53.500004,0.41231057
15,14,1.55,-287.4,53.649998,0.46904156
16,15,1.075,-286.5,53.350002,0.39051247
17,16,1.075,-282.3,50.6,0.47169906
18,17,1.05,-272.5,47.350002,0.42426404
19,18,1.075,-264.5,44.600002,0.47169906
20,19,1.05,-263.7,44.350002,0.42426404
21,2,-6.3500004,-287.7,50.550003,0.42426404
22,21,-6.3500004,-279.55002,47.45,0.4358899
23,22,-6.3500004,-261.8,41.25,0.42426404
24,23,-6.3500004,-259.5,40.65,0.42426404
