segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.4,-283.9,50.024998,3.4307435
1,0,4.4,-282.75,49.8,0.5744563
2,1,4.4,-282.0,49.6,0.6
3,2,3.7,-280.45,48.949997,0.50990194
4,3,3.8,-279.15002,48.45,0.50990194
5,4,6.025,-277.375,47.8,0.49497476
6,5,7.125,-275.9,47.2,0.5123476
7,6,6.7500005,-273.6,46.3,0.5
8,7,6.3500004,-273.15,46.2,0.50990194
9,8,5.7999997,-273.15,46.2,0.5
10,9,5.1,-273.5,46.325,0.3774917
11,10,4.9,-274.05,46.675,0.5408327
12,11,4.9,-274.25,46.775,0.41533118
24,0,4.4,-285.05002,50.25,0.6480741
25,24,4.95,-285.80002,50.35,0.70710677
26,25,7.1000004,-290.19998,51.1,0.56568545
27,26,7.9000006,-293.19998,52.100002,0.56568545
28,27,7.9000006,-296.6,52.8,0.56568545
29,28,7.5000005,-299.8,53.3,0.56568545
30,29,6.2,-304.6,54.100002,0.56568545
31,30,5.0,-320.15,56.0,0.5744563
32,31,3.1,-331.95,57.200005,0.5744563
33,32,2.3,-337.15,57.8,0.5744563
34,33,1.3000001,-342.8,58.600002,0.56568545
35,34,0.70000005,-348.6,58.899998,0.56568545
36,35,0.70000005,-349.44998,58.999996,0.5744563
13,12,4.9249997,-274.35,46.6,0.39051247
14,13,4.95,-274.2,45.5,0.36055514
15,14,4.4,-273.775,42.449997,0.33541018
16,15,2.85,-273.42502,39.825,0.44158804
17,16,0.575,-273.15,38.125,0.46368092
18,17,-2.2,-273.05,37.475,0.39051247
19,12,4.8500004,-274.44998,46.95,0.4358899
20,19,4.375,-274.65,48.525,0.5244044
21,20,2.85,-275.0,51.1,0.45825756
22,21,0.55,-275.3,52.824997,0.48218253
23,22,-2.2,-275.35,53.399998,0.5
