segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.65,-283.9,50.024998,3.3615475
1,0,-8.65,-282.75,49.8,0.6480741
2,1,-8.65,-282.0,49.6,0.53851646
3,2,-8.0,-280.45,48.949997,0.50990194
4,3,-8.05,-279.15002,48.45,0.4358899
5,4,-10.25,-277.375,47.8,0.4387482
6,5,-11.4,-275.9,47.2,0.56568545
7,6,-11.025001,-273.6,46.3,0.47169906
8,7,-10.625,-273.15,46.2,0.5024938
9,8,-10.075,-273.15,46.2,0.5024938
10,9,-9.4,-273.5,46.325,0.3774917
11,10,-9.175,-274.05,46.675,0.44158804
12,11,-9.175,-274.25,46.775,0.39370042
24,0,-8.65,-285.05002,50.25,0.71414286
25,24,-9.2,-285.80002,50.35,0.64031243
26,25,-11.4,-290.19998,51.1,0.56568545
27,26,-12.2,-293.19998,52.100002,0.56568545
28,27,-12.2,-296.6,52.8,0.56568545
29,28,-11.8,-299.8,53.3,0.56568545
30,29,-10.400001,-304.6,54.100002,0.56568545
31,30,-9.3,-320.15,56.0,0.5744563
32,31,-7.2999997,-331.95,57.200005,0.5744563
33,32,-6.5,-337.15,57.8,0.5744563
34,33,-5.6000004,-342.8,58.600002,0.56568545
35,34,-5.0,-348.6,58.899998,0.56568545
36,35,-5.0,-349.44998,58.999996,0.5744563
13,12,-9.175,-274.35,46.6,0.33541018
14,13,-9.2,-274.2,45.5,0.4472136
15,14,-8.7,-273.775,42.449997,0.33541018
16,15,-7.125,-273.42502,39.825,0.4330127
17,16,-4.8500004,-273.15,38.125,0.47169906
18,17,-2.1,-273.05,37.475,0.39051247
19,12,-9.125,-274.44998,46.95,0.47169906
20,19,-8.65,-274.65,48.525,0.4924429
21,20,-7.1000004,-275.0,51.1,0.48989794
22,21,-4.8500004,-275.3,52.824997,0.48218253
23,22,-2.1,-275.35,53.399998,0.5
