segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.775,-280.0,53.425003,3.2908964
1,0,2.75,-278.44998,53.05,0.4358899
2,1,3.9,-276.3,51.7,0.28284273
3,2,4.4,-275.25,51.0,0.3
4,3,4.05,-274.2,50.825,0.41533118
5,4,3.6,-274.1,50.800003,0.28284273
6,5,3.2,-274.35,50.800003,0.3
7,6,3.125,-274.625,50.700005,0.35355338
8,7,3.1,-274.825,50.65,0.41533118
15,0,2.8000002,-281.55,53.8,0.5744563
16,15,3.0,-285.3,56.0,0.56568545
17,16,4.1,-291.0,59.7,0.56568545
18,17,4.25,-298.0,60.2,0.64031243
19,18,2.4,-304.5,59.2,0.56568545
20,19,1.65,-319.8,60.45,0.70710677
21,20,0.55,-336.7,61.05,0.70710677
22,21,-0.3,-341.0,60.85,0.64031243
23,22,-0.3,-345.6,60.8,0.6
24,23,-0.3,-349.5,60.8,0.6
9,8,3.0,-275.0,50.800003,0.34641016
10,9,0.9,-275.25,52.55,0.46904156
11,10,0.6,-275.3,52.824997,0.5123476
12,8,3.2,-274.95,50.5,0.41231057
13,12,4.225,-274.725,48.85,0.30822068
14,13,4.4500003,-274.65,48.525,0.42720017
