segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.0249996,-280.0,53.425003,3.2908964
1,0,-7.05,-278.44998,53.05,0.4358899
2,1,-8.1,-276.3,51.7,0.28284273
3,2,-8.7,-275.25,51.0,0.3
4,3,-8.349999,-274.2,50.825,0.41533118
5,4,-7.8500004,-274.1,50.800003,0.3
6,5,-7.5000005,-274.35,50.800003,0.3
7,6,-7.4,-274.625,50.700005,0.20615529
8,7,-7.4,-274.825,50.65,0.41533118
15,0,-7.0,-281.55,53.8,0.5744563
16,15,-7.2999997,-285.3,56.0,0.56568545
17,16,-8.4,-291.0,59.7,0.56568545
18,17,-8.55,-298.0,60.2,0.64031243
19,18,-6.7000003,-304.5,59.2,0.56568545
20,19,-5.9,-319.8,60.45,0.64031243
21,20,-4.75,-336.7,61.05,0.70710677
22,21,-3.9500003,-341.0,60.85,0.70710677
23,22,-4.0,-345.6,60.8,0.6
24,23,-4.0,-349.5,60.8,0.6
9,8,-7.2999997,-275.0,50.800003,0.48989794
10,9,-5.175,-275.25,52.55,0.45
11,10,-4.8500004,-275.3,52.824997,0.33541018
12,8,-7.5000005,-274.95,50.5,0.41231057
13,12,-8.5,-274.725,48.85,0.26925823
14,13,-8.7,-274.65,48.525,0.39051247
