segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.2,-279.25,43.925,2.5455844
8,0,4.2,-280.1,43.9,0.28284273
9,8,3.6,-282.5,43.5,0.28284273
10,9,2.8999999,-285.2,43.0,0.28284273
11,10,4.05,-291.59998,45.25,0.42426404
12,11,5.05,-298.7,47.05,0.42426404
13,12,3.05,-304.9,48.649998,0.42426404
14,13,3.05,-309.3,50.15,0.42426404
15,14,2.35,-317.19998,51.45,0.42426404
16,15,0.55,-337.0,54.85,0.42426404
17,16,-0.25,-342.6,55.85,0.42426404
18,17,-0.25,-346.30002,56.35,0.42426404
19,18,-0.25,-349.5,56.85,0.42426404
1,0,4.2,-278.4,43.95,0.36055514
2,1,4.95,-276.1,43.5,0.36055514
3,2,5.5,-274.5,43.2,0.28284273
4,3,5.4,-274.1,42.95,0.36055514
5,4,4.5499997,-273.775,42.399998,0.39051247
6,5,3.1,-273.44998,40.175,0.4387482
7,6,2.8999999,-273.42502,39.825,0.47434163
