segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.474999,-279.25,43.925,2.4758837
8,0,-8.5,-280.1,43.9,0.28284273
9,8,-7.8,-282.5,43.5,0.28284273
10,9,-7.1000004,-285.2,43.0,0.28284273
11,10,-8.349999,-291.59998,45.25,0.42426404
12,11,-9.25,-298.7,47.05,0.42426404
13,12,-7.35,-304.9,48.649998,0.42426404
14,13,-7.35,-309.3,50.15,0.42426404
15,14,-6.65,-317.19998,51.45,0.42426404
16,15,-4.75,-337.0,54.85,0.42426404
17,16,-4.0,-342.6,55.85,0.36055514
18,17,-4.0,-346.30002,56.35,0.36055514
19,18,-4.0,-349.5,56.85,0.36055514
1,0,-8.45,-278.4,43.95,0.42426404
2,1,-9.2,-276.1,43.5,0.28284273
3,2,-9.8,-274.5,43.2,0.28284273
4,3,-9.700001,-274.1,42.95,0.36055514
5,4,-8.8,-273.775,42.399998,0.3774917
6,5,-7.3749995,-273.44998,40.175,0.41833004
7,6,-7.175,-273.42502,39.825,0.4555217
