segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.95,387.25,-5.5,2.8460498
1,0,-2.8999999,387.25,-5.5,0.53851646
2,1,-3.2,387.5,-5.5,0.34641016
3,2,-4.2,388.4,-5.5,0.34641016
4,3,-5.4249997,389.925,-4.95,0.30822068
5,4,-6.7000003,392.75,-3.5750003,0.22912878
6,5,-7.2,396.075,-2.025,0.35355338
7,6,-6.8,399.4,-0.45,0.3
8,7,-6.0,402.19998,0.95,0.3
9,8,-4.475,404.09998,1.8,0.3774917
10,9,-3.5,405.2,3.15,0.3
11,10,-3.8,405.65,6.6249995,0.559017
12,11,-5.75,405.95,9.075,0.42720017
13,12,-5.65,405.3,11.85,0.50990194
14,13,-2.7,404.575,14.35,0.6422616
15,14,-2.325,403.87503,14.35,0.61237246
16,15,-1.25,398.25,14.1,0.6480741
17,16,-0.70000005,394.5,13.7,0.56568545
18,17,-0.70000005,388.85,12.3,0.5744563
19,18,-0.70000005,358.75,8.8,0.5744563
20,19,-0.70000005,354.45,8.299999,0.5744563
21,20,-0.70000005,326.2,8.1,0.56568545
22,21,-0.70000005,321.65,8.1,0.5744563
23,22,-0.70000005,293.55,12.6,0.5744563
24,23,-0.70000005,288.2,13.400001,0.56568545
25,24,-0.70000005,259.45,21.699999,0.5744563
26,25,-0.70000005,255.65,22.75,0.6480741
