segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.3,384.65,-7.75,3.7067506
1,0,-3.3,384.69998,-7.7,0.6
2,1,-3.25,385.6,-7.35,0.42426404
3,2,-3.7,387.8,-5.825,0.40311286
4,3,-5.4249997,389.925,-4.95,0.30822068
5,4,-6.7000003,392.75,-3.5750003,0.22912878
6,5,-7.2,396.075,-2.025,0.35355338
7,6,-6.8,399.4,-0.45,0.3
8,7,-6.0,402.19998,0.95,0.3
9,8,-3.9500003,403.77496,1.8,0.22912878
10,9,-1.8750001,406.575,3.6,0.5338539
11,10,-0.5,413.6,10.1,0.48989794
12,11,-0.6,421.8,16.55,0.53851646
13,12,-0.6,433.05002,30.65,0.5830952
14,13,-0.6,441.80002,41.2,0.48989794
15,14,-0.6,442.35,41.9,0.53851646
16,15,-0.6,442.35,42.25,0.50990194
17,16,-0.6,442.19998,42.449997,0.53851646
18,17,-0.6,441.75,42.35,0.50990194
19,18,-0.6,441.2,41.850002,0.53851646
20,19,-0.6,432.05,32.65,0.5830952
21,20,-0.6,422.4,22.65,0.53851646
22,21,-0.6,417.1,19.400002,0.56568545
23,22,-0.70000005,398.44998,14.1,0.5744563
24,23,-0.70000005,394.5,13.7,0.56568545
25,24,-0.70000005,388.85,12.3,0.5744563
26,25,-0.70000005,358.75,8.8,0.5744563
27,26,-0.70000005,354.45,8.299999,0.5744563
28,27,-0.70000005,326.2,8.1,0.56568545
29,28,-0.70000005,321.65,8.1,0.5744563
30,29,-0.70000005,293.55,12.6,0.5744563
31,30,-0.70000005,288.2,13.400001,0.56568545
32,31,-0.70000005,259.45,21.699999,0.5744563
33,32,-0.70000005,255.65,22.75,0.6480741
