segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-27.35,143.8,25.6,3.7802114
1,0,-27.25,143.8,25.6,0.78102493
2,1,-27.25,143.9,22.300001,0.78102493
3,2,-25.5,144.0,17.800001,0.6324555
4,3,-20.575,143.9,8.775001,0.7106335
5,4,-12.775,143.85,3.075,0.50497526
6,5,-3.15,143.75,3.525,0.40311286
7,6,-1.95,143.7,3.5500002,0.50990194
8,7,-1.6,143.7,3.5500002,0.5
9,8,-1.4499999,143.5,3.6,0.5
10,9,-1.4499999,141.3,3.6499999,0.42426404
11,10,-1.4499999,130.40001,4.1499996,0.42426404
12,11,-1.4499999,119.700005,4.35,0.42426404
13,12,-1.4499999,113.450005,3.7500002,0.4358899
14,13,-1.4499999,89.3,-0.5,0.5
15,14,-1.4499999,84.75,-2.0,0.50990194
16,15,-1.85,77.8,-6.3500004,0.42426404
17,16,-2.2,69.5,-11.85,0.5
18,17,-5.85,65.525,-10.75,0.42720017
19,18,-10.375,61.85,-12.65,0.47169906
20,19,-13.45,56.199997,-14.45,0.42426404
21,20,-13.349999,47.600002,-19.875,0.4387482
22,21,-10.625,42.05,-24.449999,0.55
23,22,-4.35,36.1,-30.55,0.46904156
24,23,-1.4499999,32.2,-35.350002,0.42426404
25,24,-1.4499999,3.7500002,-50.050003,0.4358899
26,25,-1.4499999,-3.4499998,-53.250004,0.4358899
27,26,-1.4499999,-47.15,-65.85,0.4358899
28,27,-1.4499999,-53.3,-67.049995,0.42426404
29,28,-1.4499999,-84.15,-66.649994,0.4358899
30,29,-1.4499999,-102.35,-64.0,0.50990194
31,30,-1.4499999,-118.49999,-60.2,0.5
32,31,-1.4499999,-135.45001,-53.95,0.4358899
33,32,-1.4499999,-162.85,-40.05,0.4358899
34,33,-1.4499999,-167.6,-37.6,0.5
35,34,-1.4499999,-210.2,-8.4,0.5
36,35,-1.4499999,-214.94998,-5.25,0.4358899
37,36,-1.4499999,-243.35,14.55,0.4358899
38,37,-1.4499999,-247.90001,17.35,0.42426404
39,8,-1.4499999,143.9,3.5,0.5
40,39,-1.4499999,146.3,3.4,0.5
41,40,-1.4499999,167.5,2.25,0.42426404
42,41,-1.4499999,174.65,1.05,0.4358899
43,42,-1.4499999,249.09999,-20.25,0.42426404
44,43,-1.4499999,256.3,-21.5,0.5
45,44,-1.4499999,283.3,-25.0,0.5
46,45,-1.4499999,289.19998,-25.5,0.5
47,46,-1.4499999,317.6,-26.499998,0.5
48,47,-1.4499999,322.8,-26.050001,0.42426404
49,48,-1.4499999,350.75,-23.0,0.50990194
50,49,-1.4499999,355.35,-21.449999,0.4358899
51,50,-1.4499999,374.1,-13.150001,0.42426404
52,51,-1.4499999,376.85,-12.15,0.4358899
