segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.2,402.9,4.1,2.3345237
1,0,1.6,402.55,3.9,0.3
2,1,2.175,402.3,3.3500001,0.3640055
3,2,3.25,401.4,1.5,0.3
4,3,4.3,399.4,-0.45,0.3
5,4,4.7,396.075,-2.025,0.21213202
6,5,4.2,392.75,-3.5750003,0.3640055
7,6,2.925,389.925,-4.95,0.18708287
8,7,1.0,388.05002,-5.825,0.4387482
9,8,-1.475,384.45,-7.9000006,0.5408327
10,9,-1.4499999,371.65,-14.45,0.4358899
11,10,-1.4499999,355.35,-21.449999,0.4358899
12,11,-1.4499999,350.75,-23.0,0.50990194
13,0,0.8,403.24997,4.3,0.3
14,13,0.8,406.55,6.1,0.3
15,14,0.8,411.0,9.2,0.34641016
16,15,0.8,422.75,17.35,0.37416574
17,16,0.775,423.1,17.35,0.33541018
18,17,0.825,423.25,17.2,0.33541018
