segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.8,402.9,4.1,2.2494445
7,0,-4.2,402.55,3.9,0.41231057
8,7,-4.75,402.3,3.3500001,0.37416574
9,8,-5.85,401.4,1.5,0.3
10,9,-6.8999996,399.4,-0.45,0.3
11,10,-7.275,396.075,-2.025,0.35707143
12,11,-6.8,392.75,-3.5750003,0.3640055
13,12,-5.5,389.925,-4.95,0.26925823
14,13,-3.6,388.05002,-5.825,0.4387482
15,14,-1.125,384.45,-7.9000006,0.5408327
16,15,-1.15,371.65,-14.45,0.4358899
17,16,-1.15,355.35,-21.449999,0.4358899
18,17,-1.15,350.75,-23.0,0.50990194
1,0,-3.4,403.24997,4.3,0.3
2,1,-2.05,406.55,6.1,0.37416574
3,2,-2.05,411.0,9.2,0.41231057
4,3,-2.05,422.75,17.35,0.4358899
5,4,-2.05,423.1,17.35,0.37416574
6,5,-2.0749998,423.25,17.2,0.41533118
