segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.2,405.60004,5.475,2.304886
1,0,1.6,405.24997,5.25,0.31622776
2,1,2.175,405.00003,4.75,0.41533118
3,2,3.25,404.09998,2.85,0.37416574
4,3,4.3,399.4,-0.45,0.3
5,4,4.7,396.075,-2.025,0.21213202
6,5,4.2,392.75,-3.5750003,0.3640055
7,6,2.925,389.925,-4.95,0.18708287
8,7,1.0,388.05002,-5.825,0.4387482
9,8,-1.475,384.45,-7.9000006,0.5408327
10,9,-1.4499999,371.65,-14.45,0.4358899
11,10,-1.4499999,355.35,-21.449999,0.4358899
12,11,-1.4499999,350.75,-23.0,0.50990194
13,0,0.8,405.95,5.7,0.3
14,13,0.8,408.55,7.5000005,0.3
15,14,0.8,411.8,9.95,0.41231057
16,15,0.775,422.725,17.325,0.35707143
17,16,0.775,423.1,17.35,0.33541018
18,17,0.825,423.25,17.2,0.33541018
