segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.7250001,405.60004,5.475,2.308679
7,0,-4.1,405.24997,5.25,0.31622776
8,7,-4.7,405.00003,4.75,0.36055514
9,8,-5.75,404.09998,2.85,0.37416574
10,9,-6.8,399.4,-0.45,0.3
11,10,-7.2,396.075,-2.025,0.21213202
12,11,-6.7000003,392.75,-3.5750003,0.3640055
13,12,-5.475,389.925,-4.95,0.23452078
14,13,-3.525,388.05002,-5.825,0.30822068
15,14,-1.05,384.45,-7.9000006,0.50990194
16,15,-1.05,371.65,-14.45,0.4358899
17,16,-1.05,355.35,-21.449999,0.4358899
18,17,-1.05,350.75,-23.0,0.50990194
1,0,-3.3500001,405.95,5.7,0.37416574
2,1,-2.05,408.55,7.5000005,0.37416574
3,2,-2.05,411.8,9.95,0.46904156
4,3,-2.05,422.725,17.325,0.39370042
5,4,-2.05,423.1,17.35,0.37416574
6,5,-2.0749998,423.25,17.2,0.41533118
