segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.75,408.775,7.275,2.291288
7,0,0.75,408.15,6.8,0.37416574
8,7,0.55,407.25003,5.975,0.40311286
9,8,-0.2,406.35,4.575,0.3640055
10,9,-0.8,405.95,3.4,0.3
11,10,-1.05,405.49997,2.85,0.37416574
12,11,-0.75,404.69998,2.4250002,0.41533118
13,12,1.3000001,404.09998,1.8249999,0.40311286
14,13,3.5,402.19998,0.95,0.36055514
15,14,4.3,399.4,-0.45,0.3
16,15,4.7,396.075,-2.025,0.21213202
17,16,4.2,392.75,-3.5750003,0.3640055
18,17,2.925,389.925,-4.95,0.18708287
19,18,1.0,388.05002,-5.825,0.4387482
20,19,-1.475,384.45,-7.9000006,0.5408327
21,20,-1.4499999,371.65,-14.45,0.4358899
22,21,-1.4499999,364.8,-17.550001,0.42426404
23,22,-1.4499999,360.2,-19.15,0.42426404
1,0,0.75,409.4,7.75,0.46904156
2,1,0.75,410.34998,8.5,0.37416574
3,2,0.75,421.0,17.550001,0.46904156
4,3,0.15,431.89996,30.1,0.41231057
5,4,-0.4,441.2,41.100002,0.34641016
6,5,-0.4,441.90002,42.0,0.34641016
