segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.425,408.775,7.275,2.291288
7,0,-3.4,408.15,6.8,0.3
8,7,-3.25,407.25003,5.975,0.40311286
9,8,-2.475,406.35,4.575,0.3391165
10,9,-1.9,405.95,3.4,0.3
11,10,-1.65,405.49997,2.85,0.37416574
12,11,-1.9,404.69998,2.4250002,0.45
13,12,-3.975,404.09998,1.8249999,0.43011624
14,13,-6.125,402.19998,0.95,0.3640055
15,14,-7.0,399.4,-0.45,0.3
16,15,-7.3749995,396.075,-2.025,0.35707143
17,16,-6.8999996,392.75,-3.5750003,0.3640055
18,17,-5.6000004,389.925,-4.95,0.26925823
19,18,-3.675,388.05002,-5.825,0.41833004
20,19,-1.225,384.45,-7.9000006,0.5408327
21,20,-1.25,371.65,-14.45,0.4358899
22,21,-1.25,364.8,-17.550001,0.42426404
23,22,-1.25,360.2,-19.15,0.42426404
1,0,-3.4499998,409.4,7.75,0.46904156
2,1,-3.4499998,410.34998,8.5,0.37416574
3,2,-3.4499998,421.0,17.550001,0.46904156
4,3,-1.4499999,431.89996,30.1,0.41231057
5,4,-0.85,441.2,41.100002,0.41231057
6,5,-0.85,441.90002,42.0,0.41231057
