segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.5,410.15,8.175,2.823119
7,0,2.5,409.2,7.8500004,0.53851646
8,7,3.05,407.05,7.25,0.4358899
9,8,11.55,387.45,2.6000001,0.50990194
10,9,13.950001,373.05,-1.8,0.50990194
11,10,16.45,354.09998,-6.2,0.5
12,11,18.05,328.9,-7.95,0.42426404
13,12,19.050001,308.3,-7.6499996,0.42426404
14,13,20.1,289.15,-5.85,0.50990194
15,14,21.75,270.44998,-1.5,0.50990194
1,0,2.5,411.1,8.5,0.6
2,1,2.55,411.7,8.8,0.41231057
3,2,2.05,414.4,10.450001,0.46904156
4,3,1.35,421.6,16.599998,0.41231057
5,4,1.05,424.80002,20.4,0.41231057
6,5,0.95,425.5,21.3,0.41231057
16,15,21.75,270.1,-1.6,0.70000005
17,16,21.75,270.05,-1.85,0.591608
18,17,21.75,269.8,-2.95,0.50990194
19,18,21.525,269.1,-8.05,0.71589106
20,19,18.875,268.625,-16.475,0.7794229
21,20,9.375,268.35,-24.0,0.7017835
22,21,5.175,268.45,-25.05,0.585235
23,22,2.6000001,268.35,-24.5,0.5
24,15,21.75,269.85,-1.35,0.4358899
25,24,22.949999,255.65,2.2,0.50990194
26,25,24.15,237.45,7.75,0.4358899
27,26,25.75,219.25002,13.349999,0.4358899
28,27,25.150002,199.35,18.55,0.4358899
29,28,25.150002,175.7,25.25,0.42426404
30,29,25.150002,170.15001,26.199999,0.50990194
31,30,25.150002,134.3,28.2,0.5
32,31,25.150002,133.9,28.05,0.8602325
33,32,25.150002,133.8,27.8,0.5
34,33,25.150002,133.7,27.1,0.5
35,34,25.7,133.4,19.875,0.8381527
36,35,20.3,133.29999,10.075,0.75
37,36,9.275,133.4,3.475,0.80311894
38,37,4.35,133.5,2.2250001,0.6873864
39,38,1.3000001,133.35,2.85,0.70710677
40,31,25.150002,133.5,28.25,0.42426404
41,40,25.150002,113.8,27.4,0.5
42,41,25.150002,93.65,23.15,0.4358899
43,42,26.050001,72.75,14.25,0.4358899
44,43,26.949999,50.35,2.75,0.4358899
45,44,26.949999,48.949997,2.05,0.4358899
