segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.675,410.15,8.175,2.823119
7,0,-3.7,409.2,7.8500004,0.53851646
8,7,-4.25,407.05,7.25,0.4358899
9,8,-12.75,387.45,2.6000001,0.50990194
10,9,-15.099999,373.05,-1.8,0.5744563
11,10,-17.6,354.09998,-6.2,0.56568545
12,11,-19.15,328.9,-7.95,0.42426404
13,12,-20.2,308.3,-7.6499996,0.5
14,13,-21.25,289.15,-5.85,0.4358899
15,14,-22.9,270.44998,-1.5,0.5744563
1,0,-3.6499999,411.1,8.5,0.67082036
2,1,-3.6499999,411.7,8.8,0.41231057
3,2,-3.25,414.4,10.450001,0.46904156
4,3,-2.55,421.6,16.599998,0.41231057
5,4,-2.2,424.80002,20.4,0.34641016
6,5,-2.15,425.5,21.3,0.41231057
16,15,-22.9,270.1,-1.6,0.7483315
17,16,-22.9,270.05,-1.85,0.5477225
18,17,-22.9,269.8,-2.95,0.45825756
19,18,-22.675,269.1,-8.05,0.8077747
20,19,-20.0,268.625,-16.475,0.81547534
21,20,-10.525,268.35,-24.0,0.6576473
22,21,-6.3,268.45,-25.05,0.5830952
23,22,-3.7,268.35,-24.5,0.5
24,15,-22.9,269.85,-1.35,0.50990194
25,24,-24.050001,255.65,2.2,0.50990194
26,25,-25.3,237.45,7.75,0.50990194
27,26,-26.85,219.25002,13.349999,0.4358899
28,27,-26.300001,199.35,18.55,0.50990194
29,28,-26.300001,175.7,25.25,0.5
30,29,-26.300001,170.15001,26.199999,0.5744563
31,30,-26.300001,134.3,28.2,0.56568545
32,31,-26.300001,133.9,28.05,0.9
33,32,-26.35,133.8,27.8,0.5
34,33,-26.35,133.7,27.1,0.5
35,34,-26.800001,133.4,19.875,0.8381527
36,35,-21.425,133.29999,10.075,0.79056937
37,36,-10.400001,133.4,3.475,0.80156094
38,37,-5.5,133.5,2.2250001,0.68007356
39,38,-2.5,133.35,2.85,0.70710677
40,31,-26.300001,133.5,28.25,0.5
41,40,-26.300001,113.8,27.4,0.56568545
42,41,-26.300001,93.65,23.15,0.50990194
43,42,-27.2,72.75,14.25,0.50990194
44,43,-28.099998,50.35,2.75,0.50990194
45,44,-28.099998,48.949997,2.05,0.50990194
