segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.225,402.3,6.8999996,2.5243812
9,0,4.425,401.55002,6.5,0.6726812
10,9,5.025,399.75,5.65,0.55
11,10,9.2,388.65,-0.65000004,0.50990194
12,11,14.300001,353.15002,-12.25,0.50990194
13,12,14.5,348.525,-12.75,0.52201533
14,13,15.549999,321.025,-15.299999,0.52201533
15,14,15.700001,317.65,-15.225,0.6103278
16,15,16.775,288.15,-12.8,0.5408327
17,16,17.0,285.25,-12.375,0.5408327
18,17,19.6,255.25,-7.6,0.5744563
19,18,19.699999,252.85,-6.95,0.50990194
20,19,21.65,221.79999,2.325,0.5408327
21,20,21.375,171.95,17.35,0.55
22,21,21.425,168.9,17.525,0.51478153
23,22,21.6,123.225,20.1,0.585235
24,23,21.699999,120.55,19.925,0.48218253
25,24,21.55,88.55,14.8,0.50990194
26,25,21.625,87.0,14.25,0.57662815
27,26,23.3,47.3,-8.25,0.53851646
28,27,23.35,46.65,-8.900001,0.46904156
29,28,23.9,44.9,-12.349999,0.53851646
30,29,20.4,40.1,-21.349998,0.53851646
31,30,15.375,34.825,-29.624998,0.51720405
32,31,15.225,32.05,-31.125,0.5244044
33,32,14.325001,0.525,-47.9,0.5338539
34,33,14.4,-0.85,-48.375,0.48218253
35,34,14.5,-49.225,-63.450005,0.5024938
36,35,14.375,-50.9,-63.7,0.60207975
37,36,13.375001,-83.850006,-64.0,0.6103278
38,37,13.425,-87.3,-63.5,0.60207975
39,38,13.150001,-115.45,-58.149998,0.4358899
40,39,12.9,-133.0,-52.249996,0.53851646
41,40,13.675,-165.5,-35.575,0.5338539
42,41,12.6,-213.9,-2.675,0.63442886
43,42,10.9,-227.80002,6.15,0.53851646
44,43,10.475,-240.94998,15.150001,0.47169906
45,44,9.75,-242.35,16.0,0.5477225
46,45,5.275,-250.45,20.75,0.55
47,46,3.4,-256.35,24.15,0.46904156
48,47,1.425,-259.75,26.15,0.47169906
49,48,1.125,-261.6,27.45,0.5024938
50,49,0.375,-270.625,33.55,0.59581876
51,50,0.32500002,-271.32498,34.75,0.5612486
52,51,0.9,-272.90002,37.875,0.5678908
53,52,3.0,-273.5,39.625,0.45
54,53,4.5,-273.875,42.0,0.5123476
55,54,4.95,-274.15,44.95,0.591608
1,0,4.025,403.05,7.2999997,0.5408327
2,1,3.5750003,404.72498,8.05,0.41833004
3,2,0.825,414.69998,13.55,0.39051247
4,3,0.75,416.34998,15.000001,0.37416574
5,4,0.75,422.30002,20.1,0.41231057
6,5,-0.225,432.60004,31.525002,0.40620193
7,6,-0.25,441.80002,41.775,0.3640055
8,7,-0.25,442.05,42.1,0.46904156
