segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.225,402.3,6.8999996,2.4763887
9,0,-6.425,401.55002,6.5,0.6726812
10,9,-7.0,399.75,5.65,0.50990194
11,10,-10.7,388.375,-0.5,0.585235
12,11,-10.9,386.775,-1.05,0.559017
13,12,-15.700001,353.225,-12.4,0.585235
14,13,-15.9,350.875,-12.825001,0.47434163
15,14,-16.975,321.025,-15.299999,0.49497476
16,15,-17.1,317.65,-15.225,0.6103278
17,16,-18.35,288.15,-12.8,0.50990194
18,17,-18.6,285.25,-12.375,0.5408327
19,18,-21.425,255.25,-7.6,0.48218253
20,19,-21.525,252.85,-6.95,0.40311286
21,20,-23.65,221.79999,2.325,0.5408327
22,21,-22.625,171.95,17.35,0.47169906
23,22,-22.7,168.9,17.525,0.47169906
24,23,-22.824999,123.225,20.1,0.552268
25,24,-22.949999,120.55,19.925,0.40311286
26,25,-22.9,88.55,14.8,0.5744563
27,26,-22.975,87.0,14.25,0.5024938
28,27,-24.625,47.3,-8.25,0.57662815
29,28,-24.699999,46.65,-8.900001,0.53851646
30,29,-25.2,44.9,-12.349999,0.53851646
31,30,-21.475,40.1,-21.349998,0.57662815
32,31,-16.475,34.825,-29.624998,0.51720405
33,32,-16.300001,32.05,-31.125,0.6103278
34,33,-15.9,0.525,-47.9,0.5678908
35,34,-15.975,-0.85,-48.375,0.44158804
36,35,-16.050001,-49.225,-63.450005,0.42720017
37,36,-15.925,-50.9,-63.7,0.53150725
38,37,-14.8,-83.850006,-64.0,0.5744563
39,38,-14.849999,-87.3,-63.5,0.5
40,39,-14.575,-115.45,-58.149998,0.55
41,40,-14.300001,-133.0,-52.249996,0.53851646
42,41,-14.650001,-165.5,-35.575,0.57662815
43,42,-13.875,-213.9,-2.675,0.552268
44,43,-12.2,-227.80002,6.15,0.53851646
45,44,-11.925,-240.94998,15.150001,0.55
46,45,-11.75,-242.35,16.0,0.5477225
47,46,-9.55,-250.45,20.75,0.591608
48,47,-7.175,-256.35,24.15,0.55
49,48,-5.7,-259.75,26.15,0.50990194
50,49,-5.4,-261.6,27.45,0.53851646
51,50,-4.625,-270.625,33.55,0.5244044
52,51,-4.6,-271.32498,34.75,0.52201533
53,52,-5.2000003,-272.90002,37.875,0.5678908
54,53,-7.2999997,-273.5,39.625,0.45
55,54,-8.8,-273.875,42.0,0.5123476
56,55,-9.25,-274.15,44.95,0.591608
1,0,-6.025,403.05,7.2999997,0.5408327
2,1,-5.725,405.00003,8.05,0.39051247
3,2,-4.4500003,414.69998,13.55,0.42426404
4,3,-4.0750003,416.34998,15.000001,0.33541018
5,4,-2.75,422.30002,20.1,0.41231057
6,5,-1.7750001,432.60004,31.525002,0.40620193
7,6,-0.875,441.80002,41.775,0.32403705
8,7,-0.95,442.05,42.1,0.46904156
