segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.32500002,407.3,7.6499996,2.2737634
6,0,-0.3,406.55,7.35,0.37416574
7,6,-0.25,405.7,6.325,0.3640055
8,7,-0.225,405.49997,5.0,0.32015622
9,8,-0.2,405.475,3.8,0.32015622
10,9,-0.1,405.35,2.925,0.39051247
11,10,0.2,404.8,2.45,0.36055514
12,11,1.3000001,404.09998,1.8249999,0.47169906
13,12,3.5,402.19998,0.95,0.36055514
14,13,4.3,399.4,-0.45,0.3
15,14,4.7,396.075,-2.025,0.21213202
16,15,4.2,392.75,-3.5750003,0.3640055
17,16,2.925,389.925,-4.95,0.18708287
18,17,1.0,388.05002,-5.825,0.4387482
19,18,-1.475,384.45,-7.9000006,0.5408327
20,19,-1.4499999,371.65,-14.45,0.4358899
21,20,-1.4499999,364.8,-17.550001,0.42426404
22,21,-1.4499999,360.2,-19.15,0.42426404
1,0,-0.35000002,408.05002,7.95,0.4358899
2,1,0.15,409.15,8.349999,0.4358899
3,2,0.6,411.3,9.8,0.34641016
4,3,0.8,415.95,12.85,0.24494897
5,4,0.8,416.25,13.05,0.24494897
