segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,24.749,175.151,24.952,4.490782
609,0,24.749,173.36299,25.905,0.8336162
610,609,25.098,160.07901,26.763,0.66747284
611,610,25.098,158.31,26.862999,0.66747284
1,0,24.749,174.937,23.689001,0.7907162
2,1,25.292,174.317,20.395,0.7602395
3,2,23.491,173.274,15.363,0.6464209
4,3,18.869001,171.925,7.028,0.7330512
5,4,9.38,171.081,1.421,0.69869876
6,5,5.163,171.038,0.359,0.5846059
7,6,2.565,171.018,0.91700006,0.6007795
8,7,1.269,170.99901,2.029,0.64637136
9,8,-0.715,169.888,2.249,0.5060079
10,9,-1.472,167.62001,2.26,0.4923007
11,10,-1.464,125.06799,4.474,0.47860628
12,11,-1.464,116.23501,4.461,0.47860628
13,12,-1.464,89.319,-0.48600003,0.47721696
14,13,-1.463,84.752,-1.9959999,0.4802208
15,14,-1.8750001,77.804,-6.3529997,0.4725886
16,15,-2.211,69.501,-11.827001,0.46855524
17,16,-5.843,65.517006,-10.744,0.4165093
18,17,-10.378,61.816,-12.658999,0.46703747
19,18,-13.425,56.226997,-14.43,0.4281355
20,19,-13.31,47.605,-19.862001,0.43973172
21,20,-10.605,42.071,-24.422,0.4727029
22,21,-4.344,36.12,-30.537998,0.47843912
23,22,-1.463,32.201,-35.333,0.47898227
24,23,-1.463,3.7870002,-50.083,0.4774055
25,24,-1.464,-3.4490001,-53.231003,0.47882357
26,25,-1.464,-47.151,-65.867004,0.47884443
27,26,-1.464,-53.324,-67.068,0.47709957
28,27,-1.464,-84.147,-66.674,0.4785102
29,28,-1.463,-102.354004,-64.013,0.47843078
30,29,-1.463,-118.490005,-60.203,0.47756466
31,30,-1.463,-135.459,-53.970997,0.47921184
32,31,-1.464,-151.783,-46.976,0.4792369
33,32,-1.464,-156.574,-44.502,0.47782004
34,0,24.749,177.154,25.262001,0.90899503
35,34,25.134,182.50801,23.480999,0.6276751
36,35,25.134,199.001,18.449,0.62627786
612,611,25.098,157.516,26.912,0.6667323
613,612,25.098,155.49,27.035002,0.66662735
614,613,25.098,148.3,27.474,0.6667323
615,614,25.098,146.233,27.599998,0.66662735
616,615,25.098,145.327,27.656,0.6667323
617,616,25.098,142.873,27.805,0.66662735
618,617,25.098,136.16,28.161001,0.6660811
619,618,25.098,133.942,28.265,0.66600305
620,619,25.098,133.657,27.963999,0.65120196
621,620,25.099,133.677,27.626,0.4740042
622,621,25.106998,133.77399,23.812,0.362927
623,622,24.627,133.86299,18.359999,0.30310392
624,623,24.568,133.758,18.239,0.33923444
625,624,24.578001,133.438,18.234999,0.27465615
626,625,24.727001,129.186,18.218,0.27321786
627,626,24.128,128.106,17.029,0.26178616
628,627,23.113,127.092,14.753,0.27282962
629,628,20.983,127.077995,11.851,0.2747872
630,629,18.588001,125.27601,9.789,0.25941473
631,630,16.559,123.338,8.356,0.25943014
632,631,16.467001,123.402,8.312,0.24529167
633,632,16.361,123.603,8.297,0.19515122
634,633,15.835001,124.775,7.872,0.1932977
635,634,14.08,125.017,6.913,0.19428845
636,635,12.559999,125.007996,6.336,0.2302781
637,631,16.442,123.271,8.282,0.2600769
638,637,12.984,121.973,6.7440004,0.2600769
639,623,24.503,133.862,18.121,0.30367088
640,639,22.799,133.67601,14.115,0.30367088
641,640,22.7,133.664,13.882001,0.30367088
642,641,19.819,133.381,10.317,0.30276063
643,642,19.744,133.478,10.219,0.34870043
644,643,19.738,133.791,10.199,0.20687194
645,644,19.476,136.227,10.027,0.23984161
646,645,18.444,137.46,9.003,0.2410892
647,646,16.686,137.537,7.3749995,0.20440155
648,647,14.189,137.236,6.0369997,0.23948278
649,642,19.668,133.366,10.129001,0.30280027
650,649,16.064,133.084,7.2679996,0.30252934
651,650,15.814,133.065,7.069,0.30163553
652,651,11.639,132.942,5.223,0.30308414
653,640,22.753,133.566,13.997001,0.31329218
654,653,22.765,133.336,14.002999,0.23441844
