segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,24.85,188.8,20.550001,4.4966655
1,0,24.75,188.8,20.550001,0.78740084
2,1,25.3,188.2,17.25,0.728011
3,2,23.475,187.15,12.224999,0.7035624
4,3,18.875,185.85,3.85,0.75
5,4,9.375,184.95,-1.7249999,0.74498326
6,5,5.175,184.925,-2.8000002,0.65192026
7,6,2.6000001,184.95,-2.25,0.5830952
8,7,1.3000001,184.9,-1.125,0.68007356
9,8,-0.70000005,183.8,-0.9,0.48989794
10,9,-1.5,178.84999,0.275,0.48218253
11,10,-1.4499999,174.65,1.1,0.50990194
12,11,-1.4499999,167.6,2.25,0.42426404
13,12,-1.4499999,125.100006,4.4500003,0.42426404
14,13,-1.4499999,116.2,4.4500003,0.42426404
15,14,-1.4499999,89.3,-0.5,0.5
16,15,-1.4499999,84.75,-2.0,0.50990194
17,16,-1.85,77.8,-6.3500004,0.42426404
18,17,-2.2,69.5,-11.85,0.5
19,18,-5.85,65.525,-10.75,0.42720017
20,19,-10.375,61.85,-12.65,0.47169906
21,20,-13.45,56.199997,-14.45,0.42426404
22,21,-13.349999,47.600002,-19.875,0.4387482
23,22,-10.625,42.05,-24.449999,0.55
24,23,-4.35,36.1,-30.55,0.46904156
25,24,-1.4499999,32.2,-35.350002,0.42426404
26,25,-1.4499999,3.7500002,-50.050003,0.4358899
27,26,-1.4499999,-3.4499998,-53.250004,0.4358899
28,27,-1.4499999,-47.15,-65.85,0.4358899
29,28,-1.4499999,-53.3,-67.049995,0.42426404
30,29,-1.4499999,-84.15,-66.649994,0.4358899
31,30,-1.4499999,-102.35,-64.0,0.50990194
32,31,-1.4499999,-118.49999,-60.2,0.5
33,32,-1.4499999,-135.45001,-53.95,0.4358899
34,33,-1.4499999,-150.75,-47.55,0.4358899
35,34,-1.4499999,-155.5,-45.100002,0.5
