segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.55,410.0,8.900001,2.4020824
1,0,0.6,410.0,8.85,0.53851646
2,1,0.65000004,409.0,7.8,0.41231057
3,2,0.9,404.775,2.5,0.32015622
4,3,3.5,402.19998,0.95,0.3
5,4,4.3,399.4,-0.45,0.3
6,5,4.7,396.075,-2.025,0.21213202
7,6,4.2,392.75,-3.5750003,0.3640055
8,7,2.925,389.925,-4.95,0.18708287
9,8,0.95,388.0,-5.825,0.33541018
10,9,-1.5,385.05002,-7.5000005,0.5744563
11,10,-1.4499999,355.35,-21.449999,0.4358899
12,11,-1.4499999,350.75,-23.0,0.50990194
13,12,-1.4499999,322.8,-26.050001,0.42426404
14,13,-1.4499999,317.6,-26.499998,0.5
15,14,-1.4499999,289.19998,-25.5,0.5
16,15,-1.4499999,283.3,-25.0,0.5
17,16,-1.4499999,256.3,-21.5,0.5
18,17,-1.4499999,249.09999,-20.25,0.42426404
19,18,-1.4499999,174.65,1.05,0.4358899
20,19,-1.4499999,167.6,2.25,0.42426404
21,20,-1.4499999,125.100006,4.4500003,0.42426404
22,21,-1.4499999,116.2,4.4500003,0.42426404
23,22,-1.4499999,89.3,-0.5,0.5
24,23,-1.4499999,84.75,-2.0,0.50990194
25,24,-1.85,77.8,-6.3500004,0.42426404
26,25,-2.2,69.5,-11.85,0.5
27,26,-5.85,65.525,-10.75,0.42720017
28,27,-10.375,61.85,-12.65,0.47169906
29,28,-13.45,56.199997,-14.45,0.42426404
30,29,-13.349999,47.600002,-19.875,0.4387482
31,30,-10.625,42.05,-24.449999,0.55
32,31,-4.35,36.1,-30.55,0.46904156
33,32,-1.4499999,32.2,-35.350002,0.42426404
34,33,-1.4499999,3.7500002,-50.050003,0.4358899
35,34,-1.4499999,-3.4499998,-53.250004,0.4358899
36,35,-1.4499999,-47.15,-65.85,0.4358899
37,36,-1.4499999,-53.3,-67.049995,0.42426404
38,37,-1.4499999,-84.15,-66.649994,0.4358899
39,38,-1.4499999,-102.35,-64.0,0.50990194
40,39,-1.4499999,-118.49999,-60.2,0.5
41,40,-1.4499999,-135.45001,-53.95,0.4358899
42,41,-1.4499999,-162.85,-40.05,0.4358899
43,42,-1.4499999,-167.6,-37.6,0.5
44,43,-1.4499999,-210.2,-8.4,0.5
45,44,-1.4499999,-214.94998,-5.25,0.4358899
46,45,-1.4499999,-243.35,14.55,0.4358899
47,46,-1.4499999,-247.90001,17.35,0.42426404
48,47,-1.7,-269.8,28.75,0.53851646
49,48,-2.025,-272.15,34.7,0.52201533
50,49,-2.025,-272.225,34.95,0.46368092
51,50,-1.65,-272.15,35.350002,0.33166248
52,51,0.45,-272.6,38.0,0.45825756
53,52,2.6499999,-272.75,39.6,0.50990194
54,53,2.775,-272.625,39.725,0.4769696
55,54,2.85,-272.44998,39.774998,0.32015622
56,55,3.125,-272.25,40.0,0.4387482
57,56,3.5750003,-272.25,40.2,0.39051247
58,57,4.475,-272.475,42.449997,0.30822068
59,58,4.975,-272.925,45.5,0.2915476
60,59,4.4500003,-273.35,48.525,0.4924429
61,60,2.8999999,-273.7,51.1,0.48989794
62,61,1.9,-273.7,51.725,0.47169906
63,53,2.875,-272.775,39.774998,0.4555217
64,63,4.475,-273.15,42.449997,0.47169906
65,64,4.975,-273.55002,45.5,0.33541018
66,65,4.4500003,-274.02502,48.525,0.41833004
67,66,2.8999999,-274.35,51.1,0.41231057
68,49,-2.2749999,-272.30002,35.0,0.45
69,68,-4.6,-273.15,37.850002,0.46904156
70,69,-4.7,-273.30002,37.95,0.5
71,70,-4.75,-273.57498,37.875,0.61237246
72,71,-5.05,-273.775,38.2,0.26925823
73,72,-5.9500003,-274.1,38.9,0.3
74,73,-7.1000004,-274.25,39.8,0.41231057
75,74,-8.7,-274.65,42.449997,0.37416574
76,75,-9.2,-275.05,45.5,0.36055514
77,76,-8.65,-275.55002,48.525,0.4924429
78,69,-4.8250003,-273.15,38.05,0.45
79,78,-6.65,-273.35,39.375,0.47169906
80,79,-6.8,-273.25,39.5,0.45825756
81,80,-6.8,-273.05,39.5,0.41231057
82,81,-7.125,-272.775,39.8,0.40620193
83,82,-8.7,-273.15,42.449997,0.37416574
84,83,-9.2,-273.6,45.5,0.4472136
85,84,-8.65,-274.05,48.525,0.4924429
86,79,-6.925,-273.42502,39.574997,0.40926766
87,86,-8.7,-273.775,42.449997,0.41533118
88,87,-9.2,-274.2,45.5,0.4472136
89,88,-8.65,-274.65,48.525,0.4924429
90,89,-7.1000004,-275.0,51.1,0.48989794
91,90,-4.8500004,-275.3,52.824997,0.48218253
92,91,-2.1,-275.35,53.399998,0.5
93,92,0.6,-275.3,52.824997,0.3774917
94,93,2.8999999,-275.0,51.1,0.34641016
95,94,4.4500003,-274.65,48.525,0.42720017
96,95,4.975,-274.2,45.5,0.40311286
97,96,4.475,-273.775,42.449997,0.44158804
98,97,2.8999999,-273.42502,39.825,0.47434163
99,98,0.65000004,-273.15,38.125,0.47169906
100,99,0.5,-273.125,38.05,0.39051247
