segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.25,409.95,8.900001,2.4617066
1,0,-3.25,409.9,8.85,0.46904156
2,1,-3.5500002,408.30002,6.8999996,0.41231057
3,2,-3.6,404.85,2.8000002,0.3
4,3,-6.0,402.19998,0.95,0.3
5,4,-6.8,399.4,-0.45,0.3
6,5,-7.2,396.075,-2.025,0.21213202
7,6,-6.7000003,392.75,-3.5750003,0.3640055
8,7,-5.4249997,389.925,-4.95,0.18708287
9,8,-3.5,388.0,-5.825,0.3774917
10,9,-2.15,385.1,-7.2999997,0.53851646
11,10,-1.4499999,378.5,-11.5,0.5
12,11,-1.4499999,355.35,-21.449999,0.4358899
13,12,-1.4499999,350.75,-23.0,0.50990194
14,13,-1.4499999,322.8,-26.050001,0.42426404
15,14,-1.4499999,317.6,-26.499998,0.5
16,15,-1.4499999,289.19998,-25.5,0.5
17,16,-1.4499999,283.3,-25.0,0.5
18,17,-1.4499999,256.3,-21.5,0.5
19,18,-1.4499999,249.09999,-20.25,0.42426404
20,19,-1.4499999,174.65,1.05,0.4358899
21,20,-1.4499999,167.6,2.25,0.42426404
22,21,-1.4499999,125.100006,4.4500003,0.42426404
23,22,-1.4499999,116.2,4.4500003,0.42426404
24,23,-1.4499999,89.3,-0.5,0.5
25,24,-1.4499999,84.75,-2.0,0.50990194
26,25,-1.85,77.8,-6.3500004,0.42426404
27,26,-2.2,69.5,-11.85,0.5
28,27,-5.85,65.525,-10.75,0.42720017
29,28,-10.375,61.85,-12.65,0.47169906
30,29,-13.45,56.199997,-14.45,0.42426404
31,30,-13.349999,47.600002,-19.875,0.4387482
32,31,-10.625,42.05,-24.449999,0.55
33,32,-4.35,36.1,-30.55,0.46904156
34,33,-1.4499999,32.2,-35.350002,0.42426404
35,34,-1.4499999,3.7500002,-50.050003,0.4358899
36,35,-1.4499999,-3.4499998,-53.250004,0.4358899
37,36,-1.4499999,-47.15,-65.85,0.4358899
38,37,-1.4499999,-53.3,-67.049995,0.42426404
39,38,-1.4499999,-84.15,-66.649994,0.4358899
40,39,-1.4499999,-102.35,-64.0,0.50990194
41,40,-1.4499999,-118.49999,-60.2,0.5
42,41,-1.4499999,-135.45001,-53.95,0.4358899
43,42,-1.4499999,-162.85,-40.05,0.4358899
44,43,-1.4499999,-167.6,-37.6,0.5
45,44,-1.4499999,-210.2,-8.4,0.5
46,45,-1.4499999,-214.94998,-5.25,0.4358899
47,46,-1.4499999,-243.35,14.55,0.4358899
48,47,-1.4499999,-247.90001,17.35,0.42426404
49,48,-1.95,-270.65,29.800001,0.46904156
50,49,-1.9750001,-272.15,34.7,0.4387482
51,50,-3.5500002,-272.65,36.649998,0.4358899
52,51,-4.8,-273.15,38.0,0.41231057
53,52,-6.925,-273.375,39.7,0.40620193
54,53,-7.0,-273.525,39.75,0.41533118
55,54,-7.0,-273.7,39.725,0.42720017
56,55,-6.8999996,-273.8,39.649998,0.41231057
57,56,-6.7500005,-273.8,39.6,0.3
58,57,-6.5499997,-273.75,39.449997,0.17320508
59,55,-7.1000004,-273.8,39.8,0.34641016
60,59,-7.25,-273.85,39.899998,0.24494897
61,60,-7.95,-274.0,40.95,0.24494897
62,55,-7.0,-273.9,39.725,0.45
63,62,-7.1000004,-274.1,39.774998,0.20615529
64,63,-7.35,-274.32498,40.0,0.26925823
65,64,-7.95,-274.55002,40.925,0.15
66,55,-7.0,-273.9,39.725,0.45
67,53,-7.125,-273.42502,39.825,0.32787192
68,67,-8.7,-273.775,42.449997,0.41533118
69,68,-9.2,-274.2,45.5,0.4472136
70,69,-8.65,-274.65,48.525,0.4924429
71,70,-7.1000004,-275.0,51.1,0.48989794
72,71,-4.8500004,-275.3,52.824997,0.48218253
73,72,-2.1,-275.35,53.399998,0.5
74,73,0.6,-275.3,52.824997,0.3774917
75,74,2.8999999,-275.0,51.1,0.34641016
76,75,4.4500003,-274.65,48.525,0.42720017
77,76,4.975,-274.2,45.5,0.40311286
78,77,4.475,-273.775,42.449997,0.44158804
79,78,4.425,-273.625,42.325,0.35707143
80,79,4.375,-273.1,42.05,0.4609772
81,80,3.7500002,-272.6,40.825,0.41533118
82,81,2.825,-272.5,39.225,0.43011624
83,82,2.6000001,-272.475,38.9,0.47169906
84,78,4.325,-273.75,42.225,0.41833004
85,84,2.8000002,-273.42502,39.25,0.4387482
86,85,2.575,-273.35,38.875,0.41833004
