segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.1,366.65002,-14.7,3.9255574
1,0,-0.1,366.59998,-14.749999,0.8062257
2,1,-0.375,363.25,-16.0,0.5408327
3,2,-1.5,352.35,-21.05,0.50990194
4,3,-1.4499999,347.05,-23.45,0.4358899
5,4,-1.4499999,322.8,-26.050001,0.42426404
6,5,-1.4499999,317.6,-26.499998,0.5
7,6,-1.4499999,289.19998,-25.5,0.5
8,7,-1.4499999,283.3,-25.0,0.5
9,8,-1.4499999,256.3,-21.5,0.5
10,9,-1.4499999,249.09999,-20.25,0.42426404
11,10,-1.4499999,174.65,1.05,0.4358899
12,11,-1.4499999,167.6,2.25,0.42426404
13,12,-1.4499999,125.100006,4.4500003,0.42426404
14,13,-1.4499999,116.2,4.4500003,0.42426404
15,14,-1.4499999,89.3,-0.5,0.5
16,15,-1.4499999,84.75,-2.0,0.50990194
17,16,-1.85,77.8,-6.3500004,0.42426404
18,17,-2.2,69.5,-11.85,0.5
19,18,-5.85,65.525,-10.75,0.42720017
20,19,-10.375,61.85,-12.65,0.47169906
21,20,-13.45,56.199997,-14.45,0.42426404
22,21,-13.349999,47.600002,-19.875,0.4387482
23,22,-10.625,42.05,-24.449999,0.55
24,23,-4.35,36.1,-30.55,0.46904156
25,24,-1.4499999,32.2,-35.350002,0.42426404
26,25,-1.4499999,3.7500002,-50.050003,0.4358899
27,26,-1.4499999,-3.4499998,-53.250004,0.4358899
28,27,-1.4499999,-47.15,-65.85,0.4358899
29,28,-1.4499999,-53.3,-67.049995,0.42426404
30,29,-1.4499999,-84.15,-66.649994,0.4358899
31,30,-1.4499999,-102.35,-64.0,0.50990194
32,31,-1.4499999,-118.49999,-60.2,0.5
33,32,-1.4499999,-135.45001,-53.95,0.4358899
34,33,-1.4499999,-162.85,-40.05,0.4358899
35,34,-1.4499999,-167.6,-37.6,0.5
36,35,-1.4499999,-210.2,-8.4,0.5
37,36,-1.4499999,-214.94998,-5.25,0.4358899
38,37,-1.4499999,-243.35,14.55,0.4358899
39,38,-1.4499999,-247.90001,17.35,0.42426404
40,39,-1.95,-267.6,26.449999,0.46904156
41,40,-1.4499999,-271.1,31.75,0.46904156
42,41,-0.4,-272.44998,35.350002,0.37416574
43,42,1.1,-273.15,37.3,0.41231057
44,43,2.8999999,-273.42502,39.825,0.40620193
45,44,4.475,-273.775,42.449997,0.44158804
46,45,4.975,-274.2,45.5,0.42720017
47,46,4.4500003,-274.65,48.525,0.4924429
48,47,2.8999999,-275.0,51.1,0.48989794
49,48,0.6,-275.3,52.824997,0.5123476
50,49,-2.1,-275.35,53.399998,0.5
