segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.15,356.55,-16.65,3.7775655
1,0,-0.1,356.55,-16.65,0.8366601
2,1,0.025,354.425,-18.3,0.65192026
3,2,0.75,347.0,-23.5,0.41231057
4,3,0.75,322.8,-26.050001,0.42426404
5,4,0.75,317.6,-26.499998,0.5
6,5,0.75,289.19998,-25.5,0.5
7,6,0.75,283.3,-25.0,0.5
8,7,0.75,256.3,-21.5,0.5
9,8,0.75,249.09999,-20.25,0.42426404
10,9,0.75,174.65,1.05,0.4358899
11,10,0.75,167.6,2.25,0.42426404
12,11,0.75,125.100006,4.4500003,0.42426404
13,12,0.75,116.2,4.4500003,0.42426404
14,13,0.75,89.3,-0.5,0.5
15,14,0.75,84.75,-2.0,0.50990194
16,15,1.15,77.8,-6.3500004,0.42426404
17,16,0.95,69.375,-11.85,0.42720017
18,17,5.55,65.775,-10.75,0.42720017
19,18,11.900001,60.325005,-12.65,0.4387482
20,19,13.45,54.9,-15.05,0.42426404
21,20,13.2,47.5,-19.875,0.3774917
22,21,9.925,42.05,-24.449999,0.55
23,22,3.6499999,36.1,-30.55,0.46904156
24,23,0.75,32.25,-35.05,0.4358899
25,24,0.75,3.7500002,-50.050003,0.4358899
26,25,0.75,-3.4499998,-53.250004,0.4358899
27,26,0.75,-47.15,-65.85,0.4358899
28,27,0.75,-53.3,-67.049995,0.42426404
29,28,0.75,-84.15,-66.649994,0.4358899
30,29,0.75,-102.35,-64.0,0.50990194
31,30,0.75,-118.49999,-60.2,0.5
32,31,0.75,-135.45001,-53.95,0.4358899
33,32,0.75,-162.85,-40.05,0.4358899
34,33,0.75,-167.6,-37.6,0.5
35,34,0.75,-210.2,-8.4,0.5
36,35,0.75,-214.94998,-5.25,0.4358899
37,36,0.75,-243.35,14.55,0.4358899
38,37,0.75,-247.90001,17.35,0.42426404
39,38,1.25,-268.0,27.75,0.46904156
40,39,-1.0,-271.6,34.35,0.45825756
41,40,-4.65,-273.15,37.95,0.4358899
42,41,-7.125,-273.42502,39.825,0.4555217
43,42,-8.7,-273.775,42.449997,0.41533118
44,43,-9.2,-274.2,45.5,0.4472136
45,44,-8.65,-274.65,48.525,0.4924429
46,45,-7.1000004,-275.0,51.1,0.48989794
47,46,-4.8500004,-275.3,52.824997,0.48218253
48,47,-2.1,-275.35,53.399998,0.5
