segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.85,402.40002,5.15,2.1213202
1,0,0.75,402.40002,5.15,0.42426404
2,1,0.8,403.55002,4.8,0.3
3,2,0.8,404.5,4.05,0.3
4,3,0.8,404.95,3.05,0.37416574
5,4,1.15,404.65002,2.375,0.40311286
6,5,3.4,402.19998,0.95,0.3
7,6,4.275,399.4,-0.45,0.33541018
8,7,4.6,396.075,-2.025,0.21213202
9,8,4.2,392.75,-3.5750003,0.3640055
10,9,2.8999999,389.925,-4.95,0.26925823
11,10,0.65000004,387.9,-5.85,0.37416574
12,11,0.25,385.80002,-7.7,0.5
13,12,0.2,380.75,-10.7,0.5744563
14,13,0.75,355.35,-21.449999,0.4358899
15,14,0.75,350.75,-23.0,0.50990194
16,15,0.75,322.8,-26.050001,0.42426404
17,16,0.75,317.6,-26.499998,0.5
18,17,0.75,289.19998,-25.5,0.5
19,18,0.75,283.3,-25.0,0.5
20,19,0.75,256.3,-21.5,0.5
21,20,0.75,249.09999,-20.25,0.42426404
22,21,0.75,174.65,1.05,0.4358899
23,22,0.75,167.6,2.25,0.42426404
24,23,0.75,125.100006,4.4500003,0.42426404
25,24,0.75,116.2,4.4500003,0.42426404
26,25,0.75,89.3,-0.5,0.5
27,26,0.75,84.75,-2.0,0.50990194
28,27,1.15,77.8,-6.3500004,0.42426404
29,28,0.95,69.375,-11.85,0.42720017
30,29,5.55,65.775,-10.75,0.42720017
31,30,11.900001,60.325005,-12.65,0.4387482
32,31,13.45,54.9,-15.05,0.42426404
33,32,13.2,47.5,-19.875,0.3774917
34,33,9.925,42.05,-24.449999,0.55
35,34,3.6499999,36.1,-30.55,0.46904156
36,35,0.75,32.25,-35.05,0.4358899
37,36,0.75,3.7500002,-50.050003,0.4358899
38,37,0.75,-3.4499998,-53.250004,0.4358899
39,38,0.75,-47.15,-65.85,0.4358899
40,39,0.75,-53.3,-67.049995,0.42426404
41,40,0.75,-84.15,-66.649994,0.4358899
42,41,0.75,-102.35,-64.0,0.50990194
43,42,0.75,-118.49999,-60.2,0.5
44,43,0.75,-135.45001,-53.95,0.4358899
45,44,0.75,-162.85,-40.05,0.4358899
46,45,0.75,-167.6,-37.6,0.5
47,46,0.75,-210.2,-8.4,0.5
48,47,0.75,-214.94998,-5.25,0.4358899
49,48,0.75,-243.35,14.55,0.4358899
50,49,0.75,-247.90001,17.35,0.42426404
51,50,-0.45,-264.85,25.6,0.50990194
52,51,-1.15,-270.6,31.5,0.41231057
53,52,-1.2,-272.05,34.95,0.50990194
54,53,-0.4,-272.975,36.55,0.5024938
55,54,0.625,-273.15,38.075,0.46368092
56,55,2.925,-273.42502,39.825,0.4555217
57,56,4.5,-273.775,42.449997,0.41533118
58,57,5.0,-274.2,45.5,0.4472136
59,58,4.4500003,-274.65,48.525,0.4924429
60,59,2.8999999,-275.0,51.1,0.48989794
61,60,0.65000004,-275.3,52.824997,0.48218253
62,61,-2.1,-275.35,53.399998,0.5
