segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.3,402.40002,5.15,2.1931713
1,0,-3.3500001,402.40002,5.15,0.42426404
2,1,-3.3,403.55002,4.8,0.3
3,2,-3.3,404.5,4.05,0.3
4,3,-3.3,404.95,3.05,0.37416574
5,4,-3.7,404.65002,2.375,0.39051247
6,5,-6.0,402.19998,0.95,0.3
7,6,-6.8,399.4,-0.45,0.3
8,7,-7.2,396.075,-2.025,0.21213202
9,8,-6.7000003,392.75,-3.5750003,0.3640055
10,9,-5.4249997,389.925,-4.95,0.18708287
11,10,-3.2,387.9,-5.85,0.41231057
12,11,-1.75,385.82498,-8.2,0.559017
13,12,-1.4499999,355.35,-21.449999,0.4358899
14,13,-1.4499999,350.75,-23.0,0.50990194
15,14,-1.4499999,322.8,-26.050001,0.42426404
16,15,-1.4499999,317.6,-26.499998,0.5
17,16,-1.4499999,289.19998,-25.5,0.5
18,17,-1.4499999,283.3,-25.0,0.5
19,18,-1.4499999,256.3,-21.5,0.5
20,19,-1.4499999,249.09999,-20.25,0.42426404
21,20,-1.4499999,174.65,1.05,0.4358899
22,21,-1.4499999,167.6,2.25,0.42426404
23,22,-1.4499999,125.100006,4.4500003,0.42426404
24,23,-1.4499999,116.2,4.4500003,0.42426404
25,24,-1.4499999,89.3,-0.5,0.5
26,25,-1.4499999,84.75,-2.0,0.50990194
27,26,-1.85,77.8,-6.3500004,0.42426404
28,27,-2.2,69.5,-11.85,0.5
29,28,-5.85,65.525,-10.75,0.42720017
30,29,-10.375,61.85,-12.65,0.47169906
31,30,-13.45,56.199997,-14.45,0.42426404
32,31,-13.349999,47.600002,-19.875,0.4387482
33,32,-10.625,42.05,-24.449999,0.55
34,33,-4.35,36.1,-30.55,0.46904156
35,34,-1.4499999,32.2,-35.350002,0.42426404
36,35,-1.4499999,3.7500002,-50.050003,0.4358899
37,36,-1.4499999,-3.4499998,-53.250004,0.4358899
38,37,-1.4499999,-47.15,-65.85,0.4358899
39,38,-1.4499999,-53.3,-67.049995,0.42426404
40,39,-1.4499999,-84.15,-66.649994,0.4358899
41,40,-1.4499999,-102.35,-64.0,0.50990194
42,41,-1.4499999,-118.49999,-60.2,0.5
43,42,-1.4499999,-135.45001,-53.95,0.4358899
44,43,-1.4499999,-162.85,-40.05,0.4358899
45,44,-1.4499999,-167.6,-37.6,0.5
46,45,-1.4499999,-210.2,-8.4,0.5
47,46,-1.4499999,-214.94998,-5.25,0.4358899
48,47,-1.4499999,-243.35,14.55,0.4358899
49,48,-1.4499999,-247.90001,17.35,0.42426404
50,49,-1.4000001,-264.9,25.6,0.56568545
51,50,-1.4000001,-270.6,31.5,0.48989794
52,51,-1.4000001,-272.05,34.95,0.50990194
53,52,-3.0,-272.975,36.75,0.5024938
54,53,-4.8250003,-273.15,38.075,0.46368092
55,54,-7.125,-273.42502,39.825,0.4555217
56,55,-8.7,-273.775,42.449997,0.41533118
57,56,-9.2,-274.2,45.5,0.4472136
58,57,-8.65,-274.65,48.525,0.4924429
59,58,-7.1000004,-275.0,51.1,0.48989794
60,59,-4.8500004,-275.3,52.824997,0.48218253
61,60,-2.1,-275.35,53.399998,0.5
