segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.85,407.35,7.7,2.1118712
6,0,-1.85,406.65002,7.4500003,0.4358899
7,6,-1.85,405.9,7.0,0.41231057
8,7,-1.85,405.55,5.85,0.4358899
9,8,-1.85,405.4,3.15,0.37416574
10,9,-1.85,405.1,2.6499999,0.37416574
11,10,-2.3,404.75,2.125,0.4609772
12,11,-3.7749999,404.09998,1.8249999,0.43011624
13,12,-6.0,402.19998,0.95,0.36055514
14,13,-6.8,399.4,-0.45,0.3
15,14,-7.2,396.075,-2.025,0.21213202
16,15,-6.7000003,392.75,-3.5750003,0.3640055
17,16,-5.4249997,389.925,-4.95,0.18708287
18,17,-3.525,388.05002,-5.825,0.39370042
19,18,-1.4499999,386.175,-7.35,0.42720017
20,19,-1.4499999,355.35,-21.449999,0.4358899
21,20,-1.4499999,350.75,-23.0,0.50990194
22,21,-1.4499999,322.8,-26.050001,0.42426404
23,22,-1.4499999,317.6,-26.499998,0.5
24,23,-1.4499999,289.19998,-25.5,0.5
25,24,-1.4499999,283.3,-25.0,0.5
26,25,-1.4499999,256.3,-21.5,0.5
27,26,-1.4499999,249.09999,-20.25,0.42426404
28,27,-1.4499999,174.65,1.05,0.4358899
29,28,-1.4499999,167.6,2.25,0.42426404
30,29,-1.4499999,125.100006,4.4500003,0.42426404
31,30,-1.4499999,116.2,4.4500003,0.42426404
32,31,-1.4499999,89.3,-0.5,0.5
33,32,-1.4499999,84.75,-2.0,0.50990194
34,33,-1.85,77.8,-6.3500004,0.42426404
35,34,-2.2,69.5,-11.85,0.5
36,35,-5.85,65.525,-10.75,0.42720017
37,36,-10.375,61.85,-12.65,0.47169906
38,37,-13.45,56.199997,-14.45,0.42426404
39,38,-13.349999,47.600002,-19.875,0.4387482
40,39,-10.625,42.05,-24.449999,0.55
41,40,-4.35,36.1,-30.55,0.46904156
42,41,-1.4499999,32.2,-35.350002,0.42426404
43,42,-1.4499999,3.7500002,-50.050003,0.4358899
44,43,-1.4499999,-3.4499998,-53.250004,0.4358899
45,44,-1.4499999,-47.15,-65.85,0.4358899
46,45,-1.4499999,-53.3,-67.049995,0.42426404
47,46,-1.4499999,-84.15,-66.649994,0.4358899
48,47,-1.4499999,-102.35,-64.0,0.50990194
49,48,-1.4499999,-118.49999,-60.2,0.5
50,49,-1.4499999,-135.45001,-53.95,0.4358899
51,50,-1.4499999,-162.85,-40.05,0.4358899
52,51,-1.4499999,-167.6,-37.6,0.5
53,52,-1.4499999,-210.2,-8.4,0.5
54,53,-1.4499999,-214.94998,-5.25,0.4358899
55,54,-1.4499999,-243.35,14.55,0.4358899
56,55,-1.4499999,-247.90001,17.35,0.42426404
57,56,-1.95,-270.25,27.95,0.51961523
58,57,-1.95,-271.84998,32.7,0.46904156
59,58,-2.15,-272.44998,34.850002,0.4358899
60,59,-4.8,-273.15,38.05,0.42426404
61,60,-7.125,-273.42502,39.825,0.4555217
62,61,-8.7,-273.775,42.449997,0.41533118
63,62,-9.2,-274.2,45.5,0.4472136
64,63,-8.65,-274.65,48.525,0.4924429
65,64,-7.1000004,-275.0,51.1,0.48989794
66,65,-4.8500004,-275.3,52.824997,0.48218253
67,66,-2.1,-275.35,53.399998,0.5
68,67,0.6,-275.3,52.824997,0.3774917
69,68,2.8999999,-275.0,51.1,0.34641016
70,69,4.4500003,-274.65,48.525,0.42720017
71,70,4.975,-274.2,45.5,0.40311286
72,71,4.475,-273.775,42.449997,0.44158804
73,72,2.8999999,-273.42502,39.825,0.47434163
74,73,0.65000004,-273.15,38.125,0.47169906
1,0,-1.85,408.05002,7.95,0.4358899
2,1,-1.85,411.0,9.049999,0.46904156
3,2,-1.85,421.75003,18.199999,0.46904156
4,3,-0.95,440.85,40.9,0.46904156
5,4,-0.95,442.1,42.1,0.41231057
