segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.1,358.75,-17.5,4.2485294
1,0,-0.1,358.69998,-17.5,0.8717798
2,1,-0.1,355.125,-19.300001,0.5678908
3,2,-0.475,346.225,-23.75,0.46368092
4,3,-1.4499999,322.8,-26.050001,0.42426404
5,4,-1.4499999,317.6,-26.499998,0.5
6,5,-1.4499999,289.19998,-25.5,0.5
7,6,-1.4499999,283.3,-25.0,0.5
8,7,-1.4499999,256.3,-21.5,0.5
9,8,-1.4499999,249.09999,-20.25,0.42426404
10,9,-1.4499999,174.65,1.05,0.4358899
11,10,-1.4499999,167.6,2.25,0.42426404
12,11,-1.4499999,125.100006,4.4500003,0.42426404
13,12,-1.4499999,116.2,4.4500003,0.42426404
14,13,-1.4499999,89.3,-0.5,0.5
15,14,-1.4499999,84.75,-2.0,0.50990194
16,15,-1.85,77.8,-6.3500004,0.42426404
17,16,-2.2,69.5,-11.85,0.5
18,17,-5.85,65.525,-10.75,0.42720017
19,18,-10.375,61.85,-12.65,0.47169906
20,19,-13.45,56.199997,-14.45,0.42426404
21,20,-13.349999,47.600002,-19.875,0.4387482
22,21,-10.625,42.05,-24.449999,0.55
23,22,-4.35,36.1,-30.55,0.46904156
24,23,-1.4499999,32.2,-35.350002,0.42426404
25,24,-1.4499999,3.7500002,-50.050003,0.4358899
26,25,-1.4499999,-3.4499998,-53.250004,0.4358899
27,26,-1.4499999,-47.15,-65.85,0.4358899
28,27,-1.4499999,-53.3,-67.049995,0.42426404
29,28,-1.4499999,-84.15,-66.649994,0.4358899
30,29,-1.4499999,-102.35,-64.0,0.50990194
31,30,-1.4499999,-118.49999,-60.2,0.5
32,31,-1.4499999,-135.45001,-53.95,0.4358899
33,32,-1.4499999,-162.85,-40.05,0.4358899
34,33,-1.4499999,-167.6,-37.6,0.5
35,34,-1.4499999,-210.2,-8.4,0.5
36,35,-1.4499999,-214.94998,-5.25,0.4358899
37,36,-1.4499999,-243.35,14.55,0.4358899
38,37,-1.4499999,-247.90001,17.35,0.42426404
39,38,-1.95,-268.25,27.7,0.46904156
40,39,-2.45,-271.44998,33.225,0.45
41,40,-3.3500001,-272.525,35.65,0.40311286
42,41,-4.8500004,-273.15,38.100002,0.46904156
43,42,-7.125,-273.42502,39.825,0.4555217
44,43,-8.7,-273.775,42.449997,0.41533118
45,44,-9.2,-274.2,45.5,0.4472136
46,45,-8.65,-274.65,48.525,0.4924429
47,46,-7.1000004,-275.0,51.1,0.48989794
48,47,-4.8500004,-275.3,52.824997,0.48218253
49,48,-2.1,-275.35,53.399998,0.5
50,49,0.6,-275.3,52.824997,0.3774917
51,50,2.8999999,-275.0,51.1,0.34641016
52,51,4.4500003,-274.65,48.525,0.42720017
53,52,4.975,-274.2,45.5,0.40311286
54,53,4.475,-273.775,42.449997,0.44158804
55,54,2.8999999,-273.42502,39.825,0.47434163
56,55,0.65000004,-273.15,38.125,0.47169906
57,56,-0.55,-273.15,36.1,0.42426404
58,57,-1.2,-273.15,34.55,0.37416574
