segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.8,405.4,6.8,2.57682
1,0,0.75,405.4,6.8,0.41231057
2,1,1.0,404.65002,5.9500003,0.50990194
3,2,1.15,404.44998,5.2000003,0.42426404
4,3,1.15,404.85,3.1,0.42426404
5,4,1.65,403.95,1.95,0.4358899
6,5,3.5,402.19998,0.95,0.3
7,6,4.3,399.4,-0.45,0.3
8,7,4.7,396.075,-2.025,0.21213202
9,8,4.2,392.75,-3.5750003,0.3640055
10,9,2.925,389.925,-4.95,0.18708287
11,10,0.9,388.05002,-5.85,0.37416574
12,11,-0.05,386.125,-7.05,0.42720017
13,12,-0.8,384.05002,-8.2,0.5744563
14,13,-1.4499999,355.35,-21.449999,0.4358899
15,14,-1.4499999,352.25,-22.75,0.4358899
