segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.4,405.4,6.8,2.57682
1,0,-3.3,405.4,6.8,0.48989794
2,1,-3.5500002,404.65002,5.9500003,0.4358899
3,2,-3.7500002,404.44998,5.2000003,0.42426404
4,3,-3.7500002,404.85,3.1,0.42426404
5,4,-4.2,403.95,1.95,0.37416574
6,5,-6.0,402.19998,0.95,0.3
7,6,-6.8999996,399.4,-0.45,0.3
8,7,-7.2,396.075,-2.025,0.21213202
9,8,-6.8,392.75,-3.5750003,0.3640055
10,9,-5.5,389.925,-4.95,0.26925823
11,10,-3.4499998,388.05002,-5.85,0.4358899
12,11,-2.55,386.125,-7.05,0.42720017
13,12,-1.75,384.05002,-8.2,0.50990194
14,13,-1.4499999,355.35,-21.449999,0.4358899
15,14,-1.4499999,352.25,-22.75,0.4358899
