segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.0,-270.25,45.0,2.238303
1,0,3.9500003,-270.25,45.050003,0.4358899
2,1,3.9500003,-271.19998,44.5,0.41231057
3,2,3.9500003,-271.75,43.1,0.42426404
4,3,3.0,-271.55002,40.4,0.41231057
5,4,1.075,-271.35,38.850002,0.45
6,5,-0.75,-271.35,37.850002,0.4358899
7,6,-0.95,-271.775,37.75,0.42720017
8,7,-0.95,-272.6,37.55,0.42426404
9,8,-0.85,-272.925,37.6,0.4387482
10,9,0.55,-273.15,38.05,0.4358899
11,10,2.8999999,-273.42502,39.825,0.43011624
12,11,4.475,-273.775,42.449997,0.44158804
13,12,4.975,-274.2,45.5,0.42720017
14,13,4.4500003,-274.65,48.525,0.4924429
15,14,2.8999999,-275.0,51.1,0.48989794
16,15,0.6,-275.3,52.824997,0.5123476
17,16,-2.1,-275.35,53.399998,0.5
18,17,-4.8500004,-275.3,52.824997,0.33541018
19,18,-7.1000004,-275.0,51.1,0.34641016
20,19,-8.65,-274.65,48.525,0.42720017
21,20,-9.2,-274.2,45.5,0.4472136
22,21,-8.7,-273.775,42.449997,0.33541018
23,22,-7.125,-273.42502,39.825,0.4330127
24,23,-4.8500004,-273.15,38.125,0.47169906
25,24,-3.5500002,-272.95,37.75,0.4358899
