segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.2,-270.25,45.0,2.238303
1,0,-8.2,-270.25,45.050003,0.50990194
2,1,-8.2,-271.19998,44.5,0.34641016
3,2,-8.2,-271.75,43.1,0.36055514
4,3,-7.2,-271.55002,40.4,0.41231057
5,4,-5.35,-271.35,38.850002,0.4358899
6,5,-3.4499998,-271.35,37.850002,0.4358899
7,6,-3.25,-271.775,37.75,0.42720017
8,7,-3.25,-272.6,37.55,0.42426404
9,8,-3.3500001,-272.925,37.6,0.4387482
10,9,-4.8,-273.15,38.05,0.42426404
11,10,-7.125,-273.42502,39.825,0.4555217
12,11,-8.7,-273.775,42.449997,0.41533118
13,12,-9.224999,-274.2,45.5,0.47169906
14,13,-8.65,-274.65,48.525,0.4924429
15,14,-7.1000004,-275.0,51.1,0.48989794
16,15,-4.8500004,-275.3,52.824997,0.48218253
17,16,-2.1,-275.35,53.399998,0.5
18,17,0.6,-275.3,52.824997,0.3774917
19,18,2.8999999,-275.0,51.1,0.34641016
20,19,4.425,-274.65,48.525,0.36742347
21,20,4.975,-274.2,45.5,0.40311286
22,21,4.475,-273.775,42.449997,0.44158804
23,22,2.8999999,-273.42502,39.825,0.47434163
24,23,0.625,-273.15,38.125,0.46368092
25,24,-0.675,-272.95,37.75,0.42720017
