segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,5.5,-264.35,38.0,1.7233689
1,0,5.5,-264.3,38.05,0.36055514
2,1,5.5,-263.75,37.6,0.41231057
3,2,3.25,-263.575,33.324997,0.39370042
4,3,2.95,-264.375,33.0,0.3640055
5,4,2.95,-265.7,33.05,0.37416574
6,5,0.55,-269.625,35.4,0.3640055
7,6,-1.1,-272.675,37.05,0.26925823
8,7,-0.95,-273.05,37.55,0.4358899
9,8,0.65000004,-273.15,38.125,0.35000002
10,9,2.625,-273.35,39.625,0.41833004
11,10,2.675,-273.4,39.85,0.4387482
12,11,2.45,-273.4,40.125,0.4387482
13,12,2.2,-273.35,40.125,0.4387482
14,13,0.35000002,-273.25,39.05,0.4358899
15,14,-1.7750001,-273.2,38.3,0.45
16,12,2.5,-273.44998,40.375,0.39051247
17,16,3.5500002,-273.825,42.55,0.40311286
18,17,3.85,-274.075,44.775,0.41833004
19,10,2.8999999,-273.42502,39.825,0.35355338
20,19,4.475,-273.775,42.449997,0.44158804
21,20,4.975,-274.2,45.5,0.42720017
22,21,4.4500003,-274.65,48.525,0.4924429
23,22,2.8999999,-275.0,51.1,0.48989794
24,23,2.0749998,-275.1,51.925,0.49497476
25,24,1.8,-275.1,51.925,0.61846584
26,25,1.4499999,-275.1,51.2,0.41231057
27,26,1.5,-275.0,50.950005,0.53851646
28,27,2.55,-274.8,49.5,0.41231057
29,28,3.2749999,-274.55002,47.75,0.47169906
30,29,3.85,-274.2,45.15,0.50990194
31,26,1.2,-275.1,51.175,0.3774917
32,31,-2.05,-275.15,52.074997,0.40311286
33,24,1.7,-275.2,52.174995,0.5123476
34,33,0.6,-275.3,52.824997,0.47169906
35,34,-2.1,-275.35,53.399998,0.5
