segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.8,-264.35,38.0,1.7233689
1,0,-9.75,-264.3,38.05,0.42426404
2,1,-9.75,-263.75,37.6,0.37416574
3,2,-7.5000005,-263.575,33.324997,0.47434163
4,3,-7.25,-264.375,33.0,0.3640055
5,4,-7.225,-265.7,33.05,0.3640055
6,5,-4.8250003,-269.625,35.4,0.2915476
7,6,-3.2,-272.675,37.05,0.26925823
8,7,-3.3500001,-273.05,37.55,0.4358899
9,8,-4.9,-273.15,38.125,0.39051247
10,9,-6.8999996,-273.35,39.625,0.39051247
11,10,-6.95,-273.4,39.85,0.46904156
12,11,-6.7500005,-273.4,40.125,0.559017
13,12,-6.5,-273.35,40.125,0.4387482
14,13,-4.6,-273.25,39.05,0.42426404
15,14,-2.5,-273.2,38.3,0.4472136
16,12,-6.8,-273.44998,40.375,0.5024938
17,16,-7.8500004,-273.825,42.55,0.40311286
18,17,-8.150001,-274.075,44.775,0.41833004
19,10,-7.175,-273.42502,39.825,0.4330127
20,19,-8.725,-273.775,42.449997,0.44158804
21,20,-9.25,-274.2,45.5,0.5
22,21,-8.7,-274.65,48.525,0.4387482
23,22,-7.2,-275.0,51.1,0.48989794
24,23,-6.325,-275.1,51.925,0.47434163
25,24,-6.075,-275.1,51.925,0.65192026
26,25,-5.75,-275.1,51.2,0.53851646
27,26,-5.7999997,-275.0,50.950005,0.41231057
28,27,-6.8,-274.8,49.5,0.48989794
29,28,-7.5499997,-274.55002,47.75,0.4358899
30,29,-8.125,-274.2,45.15,0.48218253
31,26,-5.5,-275.1,51.175,0.5123476
32,31,-2.25,-275.15,52.074997,0.40311286
33,24,-6.0,-275.2,52.174995,0.45
34,33,-4.8500004,-275.3,52.824997,0.48218253
35,34,-2.2,-275.35,53.399998,0.5
