segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.737,-267.063,38.087,2.406242
1,0,5.65,-260.7,36.35,0.42426404
2,1,5.5,-261.45,35.8,0.41231057
3,2,4.8,-263.2,33.5,0.28284273
4,3,3.9,-265.45,30.000002,0.3
5,4,-1.1,-267.525,26.4,0.32015622
6,5,-1.575,-268.025,26.35,0.3391165
7,6,-1.9750001,-269.72498,28.375,0.35707143
8,7,-1.925,-271.19998,30.375,0.40620193
9,8,-1.9,-272.625,35.65,0.33541018
10,9,0.0,-273.15,37.35,0.37416574
11,10,2.8999999,-273.42502,39.825,0.43011624
12,11,4.475,-273.775,42.449997,0.44158804
13,12,4.975,-274.2,45.5,0.42720017
14,13,4.4500003,-274.65,48.525,0.4924429
15,14,2.8999999,-275.0,51.1,0.48989794
16,15,0.6,-275.3,52.824997,0.5123476
17,16,-2.1,-275.35,53.399998,0.5
18,0,-7.125,-273.42502,39.825,0.4330127
19,18,-8.7,-273.775,42.449997,0.41533118
20,19,-9.2,-274.2,45.5,0.4472136
21,20,-8.65,-274.65,48.525,0.4924429
22,21,-7.1000004,-275.0,51.1,0.48989794
23,22,-4.8500004,-275.3,52.824997,0.48218253
