segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.563,-267.063,38.087,2.406242
1,0,-9.95,-260.7,36.35,0.42426404
2,1,-9.775,-261.45,35.8,0.5024938
3,2,-9.075,-263.2,33.5,0.3774917
4,3,-8.2,-265.45,30.000002,0.3
5,4,-3.2,-267.525,26.4,0.32015622
6,5,-2.725,-268.025,26.35,0.3391165
7,6,-2.325,-269.72498,28.375,0.35707143
8,7,-2.35,-271.19998,30.375,0.3640055
9,8,-2.375,-272.625,35.65,0.36742347
10,9,-4.3,-273.175,37.35,0.33541018
11,10,-7.175,-273.42502,39.825,0.295804
12,11,-8.775001,-273.775,42.449997,0.44158804
13,12,-9.25,-274.2,45.5,0.5
14,13,-8.725,-274.65,48.525,0.46368092
15,14,-7.2,-275.0,51.1,0.48989794
16,15,-4.8500004,-275.3,52.824997,0.48218253
17,16,-2.2,-275.35,53.399998,0.5
18,0,2.825,-273.42502,39.825,0.4330127
19,18,4.4,-273.775,42.449997,0.41533118
20,19,4.9249997,-274.2,45.5,0.47169906
21,20,4.375,-274.65,48.525,0.5244044
22,21,2.8000002,-275.0,51.1,0.48989794
23,22,0.55,-275.3,52.824997,0.48218253
