segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.225,-272.35,54.938,2.9698486
1,0,-1.25,-272.95,54.2,0.70710677
2,1,-1.25,-273.85,53.149998,0.65574384
3,2,-0.675,-274.625,52.749996,0.54313904
4,3,0.025,-274.75,52.499996,0.4387482
5,4,2.8999999,-275.0,51.1,0.48989794
6,5,4.4500003,-274.65,48.525,0.42720017
7,6,4.975,-274.2,45.5,0.40311286
8,7,4.475,-273.775,42.449997,0.44158804
9,8,2.8999999,-273.42502,39.825,0.47434163
10,9,1.25,-273.15,37.95,0.4358899
11,10,0.4,-272.55002,36.8,0.3
12,11,-0.6,-271.84998,35.15,0.42426404
13,12,-0.65000004,-269.17502,32.95,0.32015622
14,13,-0.70000005,-264.275,31.900002,0.45
15,14,-0.3,-263.775,31.600002,0.47169906
16,15,2.925,-263.6,32.600002,0.45
17,16,5.875,-263.0,35.375,0.43011624
18,17,7.925,-262.05002,39.55,0.47169906
19,18,8.6,-260.92502,44.350002,0.33541018
20,19,7.875,-259.85,49.25,0.45
21,20,5.9,-258.9,53.350002,0.41231057
22,21,2.85,-258.325,56.1,0.48218253
23,22,0.1,-258.175,57.200005,0.47169906
24,23,-0.975,-257.80002,57.200005,0.66520673
25,24,-1.1,-257.0,57.0,0.56568545
26,25,-0.70000005,-240.9,52.499996,0.56568545
27,26,-0.70000005,-210.75,40.7,0.5744563
28,27,-0.70000005,-162.75,10.2,0.5744563
29,28,-0.70000005,-130.35,-7.9000006,0.5744563
30,29,-0.70000005,-114.450005,-14.599999,0.5744563
31,30,-0.70000005,-98.1,-19.5,0.56568545
32,31,-0.70000005,-81.3,-22.9,0.56568545
33,32,-0.70000005,-47.850002,-17.0,0.5744563
34,33,-0.70000005,3.9500003,6.85,0.5830952
35,34,-0.70000005,38.3,27.5,0.6
36,35,-0.70000005,89.850006,47.5,0.5744563
37,36,-0.70000005,123.899994,53.250004,0.64031243
38,37,-0.70000005,173.65001,49.9,0.5744563
39,38,-0.70000005,223.25,36.7,0.5744563
40,39,-0.70000005,255.65,22.75,0.6480741
41,40,-0.70000005,288.2,13.400001,0.56568545
42,41,-0.70000005,321.65,8.1,0.5744563
43,42,-0.70000005,354.45,8.299999,0.5744563
44,43,-0.70000005,388.85,12.3,0.5744563
45,44,-0.70000005,394.5,13.7,0.56568545
46,45,-0.70000005,398.25,14.1,0.5744563
50,0,-0.1,-272.5,54.9,0.56568545
51,50,0.70000005,-272.5,54.3,0.6
52,51,2.05,-272.5,52.749996,0.5830952
53,0,-1.25,-271.4,55.75,0.70710677
54,53,-1.25,-270.19998,55.800003,0.53851646
55,54,-1.25,-265.8,57.0,0.41231057
56,55,-1.25,-258.69998,57.200005,0.5
47,0,-2.3,-272.55002,54.9,0.5
48,47,-3.4,-272.55002,54.3,0.41231057
49,48,-4.65,-272.55002,52.7,0.46904156
