segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.0,-239.84999,18.35,3.6414285
1,0,0.0,-239.94998,18.4,0.5744563
2,1,0.0,-242.70001,18.95,0.5
3,2,0.0,-247.49998,19.9,0.48989794
4,3,0.0,-256.6,25.05,0.53851646
5,4,0.0,-271.4,33.6,0.48989794
6,5,0.0,-272.8,35.350002,0.45825756
7,6,0.775,-273.15,37.675,0.41833004
8,7,2.8999999,-273.42502,39.825,0.40620193
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.975,-274.2,45.5,0.42720017
11,10,4.4500003,-274.65,48.525,0.4924429
12,11,2.8999999,-275.0,51.1,0.48989794
13,12,0.6,-275.3,52.824997,0.5123476
14,13,-2.1,-275.35,53.399998,0.5
