segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.15,-245.5,23.9,2.7658634
1,0,-5.2000003,-245.5,23.9,0.56568545
2,1,-5.15,-248.05,24.349998,0.4358899
3,2,-5.15,-257.65,25.949999,0.4358899
4,3,-5.15,-259.45,26.6,0.37416574
5,4,-5.15,-271.90002,33.899998,0.41231057
6,5,-5.15,-272.8,35.8,0.36055514
7,6,-5.15,-273.15,37.55,0.4358899
8,7,-7.125,-273.42502,39.825,0.38405728
9,8,-8.7,-273.775,42.449997,0.41533118
10,9,-9.2,-274.2,45.5,0.4472136
11,10,-8.65,-274.65,48.525,0.4924429
12,11,-7.1000004,-275.0,51.1,0.48989794
13,12,-4.8500004,-275.3,52.824997,0.48218253
14,13,-2.1,-275.35,53.399998,0.5
