segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.0,-233.25,16.35,4.268489
1,0,0.0,-233.29999,16.300001,1.1489125
2,1,0.05,-235.8,17.15,0.61644137
3,2,0.05,-240.59999,19.2,0.67082036
4,3,0.05,-256.80002,28.2,0.67082036
5,4,0.05,-271.8,36.399998,0.67082036
6,5,0.65000004,-273.15,38.125,0.40311286
7,6,2.8999999,-273.42502,39.825,0.43011624
8,7,4.475,-273.775,42.449997,0.44158804
9,8,4.975,-274.2,45.5,0.42720017
10,9,4.4500003,-274.65,48.525,0.4924429
11,10,2.8999999,-275.0,51.1,0.48989794
12,11,0.6,-275.3,52.824997,0.5123476
13,12,-2.1,-275.35,53.399998,0.5
