segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.7,-241.95001,20.65,4.268489
1,0,-4.7,-241.95001,20.7,1.17047
2,1,-4.7,-244.4,21.5,0.6
3,2,-4.7,-249.3,23.5,0.6
4,3,-4.5499997,-257.6,28.45,0.61644137
5,4,-4.3,-271.8,36.399998,0.6
6,5,-4.9,-273.15,38.125,0.4387482
7,6,-7.175,-273.42502,39.825,0.295804
8,7,-8.725,-273.775,42.449997,0.44158804
9,8,-9.25,-274.2,45.5,0.5
10,9,-8.7,-274.65,48.525,0.4387482
11,10,-7.2,-275.0,51.1,0.48989794
12,11,-4.8500004,-275.3,52.824997,0.48218253
13,12,-2.2,-275.35,53.399998,0.5
