segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.0,-267.35,35.95,2.8460498
1,0,-1.9,-267.35,35.95,0.37416574
2,1,-1.9,-266.65002,35.4,0.3
3,2,-1.9,-265.9,34.850002,0.3
4,3,-1.9,-265.9,34.5,0.28284273
5,4,-1.9,-266.35,34.0,0.3
6,5,-1.9,-268.19998,33.95,0.36055514
7,6,-1.65,-268.475,34.125,0.30822068
8,7,0.4,-269.32498,35.525,0.35355338
9,8,1.8,-270.0,36.55,0.3
10,9,1.8750001,-271.65,38.3,0.41533118
11,10,2.4250002,-272.42502,39.3,0.47434163
12,11,2.775,-273.0,39.774998,0.38078865
13,12,2.775,-273.25,39.75,0.3774917
14,13,2.625,-273.35,39.625,0.46368092
15,14,0.65000004,-273.15,38.125,0.47169906
16,15,-2.1,-273.05,37.475,0.39051247
17,16,-4.8500004,-273.15,38.125,0.35000002
18,17,-7.125,-273.42502,39.825,0.4555217
19,18,-8.7,-273.775,42.449997,0.41533118
20,19,-9.2,-274.2,45.5,0.4472136
21,20,-8.65,-274.65,48.525,0.4924429
22,21,-7.1000004,-275.0,51.1,0.48989794
23,22,-4.8500004,-275.3,52.824997,0.48218253
24,23,-2.5,-275.3,53.250004,0.36055514
25,13,2.8999999,-273.42502,39.825,0.40620193
26,25,4.475,-273.775,42.449997,0.44158804
27,26,4.975,-274.2,45.5,0.42720017
28,27,4.4500003,-274.65,48.525,0.4924429
29,28,2.8999999,-275.0,51.1,0.48989794
30,29,0.6,-275.3,52.8,0.4472136
31,30,-1.9,-275.3,53.250004,0.36055514
