segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.5,-260.9,39.0,2.5455844
1,0,3.4499998,-260.9,39.0,0.5
2,1,3.4499998,-260.5,38.800003,0.41231057
3,2,3.4499998,-260.25,38.3,0.42426404
4,3,3.5500002,-261.45,36.199997,0.46904156
5,4,3.8249998,-265.525,29.9,0.35355338
6,5,3.3,-265.75,29.499998,0.41231057
7,6,-0.5,-267.45,26.425001,0.4387482
8,7,-1.6,-268.25,26.449999,0.37416574
9,8,-1.8249999,-269.19998,27.8,0.3774917
10,9,-1.8,-269.42502,27.849998,0.4387482
11,10,-1.8,-269.55,27.599998,0.41231057
12,11,-1.8,-269.5,27.25,0.3
13,12,-1.75,-269.0,26.699999,0.3
14,9,-1.8249999,-269.45,28.099998,0.41533118
15,14,-1.8249999,-270.90002,29.949999,0.33541018
16,15,-1.8,-271.15,30.1,0.53851646
17,16,-1.8,-271.25,29.750002,0.37416574
18,17,-1.8,-271.55002,29.675001,0.33541018
19,18,-1.75,-272.05,30.25,0.33166248
20,15,-1.8249999,-271.175,30.35,0.44158804
21,20,-1.575,-272.44998,35.4,0.39051247
22,21,0.65000004,-273.15,38.125,0.40311286
23,22,2.8999999,-273.42502,39.825,0.43011624
24,23,4.475,-273.775,42.449997,0.44158804
25,24,4.975,-274.2,45.5,0.42720017
26,25,4.4500003,-274.65,48.525,0.4924429
27,26,2.8999999,-275.0,51.1,0.48989794
28,27,0.6,-275.3,52.824997,0.5123476
29,28,-2.1,-275.35,53.399998,0.5
30,29,-4.8500004,-275.3,52.824997,0.33541018
31,30,-7.1000004,-275.0,51.1,0.34641016
32,31,-8.65,-274.65,48.525,0.42720017
33,32,-9.2,-274.2,45.5,0.4472136
34,33,-8.7,-273.775,42.449997,0.33541018
35,34,-7.125,-273.42502,39.825,0.4330127
36,35,-4.8500004,-273.15,38.125,0.47169906
37,36,-2.675,-273.15,37.725,0.46368092
