segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.75,-260.9,39.0,2.6172504
1,0,-7.6499996,-260.9,39.0,0.5
2,1,-7.6499996,-260.5,38.800003,0.41231057
3,2,-7.6499996,-260.25,38.3,0.42426404
4,3,-7.75,-261.45,36.199997,0.46904156
5,4,-8.0,-265.525,29.9,0.32015622
6,5,-7.5000005,-265.75,29.499998,0.41231057
7,6,-3.7,-267.45,26.425001,0.4387482
8,7,-2.6000001,-268.25,26.449999,0.37416574
9,8,-2.35,-269.19998,27.8,0.41231057
10,9,-2.35,-269.42502,27.849998,0.4924429
11,10,-2.4,-269.55,27.599998,0.41231057
12,11,-2.4,-269.5,27.25,0.3
13,12,-2.4,-269.0,26.699999,0.34641016
14,9,-2.35,-269.45,28.099998,0.37416574
15,14,-2.35,-270.90002,29.949999,0.37416574
16,15,-2.35,-271.15,30.1,0.5830952
17,16,-2.4,-271.25,29.750002,0.24494897
18,17,-2.4,-271.55002,29.675001,0.33541018
19,18,-2.45,-272.05,30.25,0.33166248
20,15,-2.35,-271.175,30.35,0.47169906
21,20,-2.625,-272.44998,35.4,0.39051247
22,21,-4.8250003,-273.15,38.125,0.39370042
23,22,-7.1000004,-273.42502,39.825,0.43011624
24,23,-8.675,-273.775,42.449997,0.44158804
25,24,-9.15,-274.2,45.5,0.5
26,25,-8.625,-274.65,48.525,0.46368092
27,26,-7.1000004,-275.0,51.1,0.48989794
28,27,-4.75,-275.3,52.824997,0.48218253
29,28,-2.1,-275.35,53.399998,0.5
30,29,0.65000004,-275.3,52.824997,0.33541018
31,30,2.8999999,-275.0,51.1,0.34641016
32,31,4.4500003,-274.65,48.525,0.42720017
33,32,5.025,-274.2,45.5,0.32015622
34,33,4.5,-273.775,42.449997,0.33541018
35,34,2.925,-273.42502,39.825,0.4330127
36,35,0.65000004,-273.15,38.125,0.47169906
37,36,-1.525,-273.15,37.725,0.46368092
